Input URL,Title,Link,Published,Description,Source
https://news.google.com/rss/search?q=world+news,Kate Middleton makes public return at King Charles’ birthday parade after cancer update,https://www.nbcnews.com/news/world/kate-middleton-attends-king-charles-birthday-parade-cancer-update-rcna157234,"Sat, 15 Jun 2024 12:53:22 GMT",Kate Middleton makes public return at King Charles’ birthday parade after cancer update,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
https://news.google.com/rss/search?q=world+news,Monet among paintings removed from Swiss museum over Nazi looting fears,https://www.bbc.com/news/articles/c6pp6qv6jjyo,"Sat, 15 Jun 2024 09:51:49 GMT",Monet among paintings removed from Swiss museum over Nazi looting fears,"{'href': 'https://www.bbc.com', 'title': 'BBC.com'}"
https://news.google.com/rss/search?q=world+news,'Like A Roller Coaster Ride': Southwest Airlines Flight Makes Hair-Raising Drop To 400 Feet From Ocean,https://www.ndtv.com/world-news/like-a-roller-coaster-ride-southwest-airlines-flight-makes-hair-raising-drop-to-400-feet-from-ocean-5896958,"Sat, 15 Jun 2024 13:01:44 GMT",'Like A Roller Coaster Ride': Southwest Airlines Flight Makes Hair-Raising Drop To 400 Feet From Ocean,"{'href': 'https://www.ndtv.com', 'title': 'NDTV'}"
https://news.google.com/rss/search?q=world+news,"Pope Francis is first pope to address G7 summit, meets with Biden, world leaders",https://www.cbsnews.com/news/pope-francis-g7-biden-nato-leaders-ai/,"Sat, 15 Jun 2024 12:40:19 GMT","Pope Francis is first pope to address G7 summit, meets with Biden, world leaders","{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
https://news.google.com/rss/search?q=world+news,"Ukraine Peace Summit: Leaders meet in Switzerland, Russia absent",https://apnews.com/article/ukraine-switzerland-russia-war-peace-conference-burgenstock-2a8abeb9e6e2714f6af032593706d9e5,"Sat, 15 Jun 2024 16:36:00 GMT","Ukraine Peace Summit: Leaders meet in Switzerland, Russia absent","{'href': 'https://apnews.com', 'title': 'The Associated Press'}"
https://news.google.com/rss/search?q=world+news,"Volodymyr Zelenskyy eyes ‘history' at Swiss-hosted Ukraine peace meet, Russia absent",https://www.hindustantimes.com/world-news/volodymyr-zelenskyy-eyes-history-at-swiss-hosted-ukraine-peace-meet-russia-absent-101718458300950.html,"Sat, 15 Jun 2024 13:58:38 GMT","Volodymyr Zelenskyy eyes ‘history' at Swiss-hosted Ukraine peace meet, Russia absent","{'href': 'https://www.hindustantimes.com', 'title': 'Hindustan Times'}"
https://news.google.com/rss/search?q=world+news,Is Myanmar the most violent country in the world?,https://www.vaticannews.va/en/world/news/2024-06/myanmar-the-most-violent-country-in-the-world-poverty-disaster.html,"Sat, 15 Jun 2024 12:41:59 GMT",Is Myanmar the most violent country in the world?,"{'href': 'https://www.vaticannews.va', 'title': 'Vatican News - English'}"
https://news.google.com/rss/search?q=world+news,Ukraine war latest: Putin makes 'absurd attempt to seduce West'; leaders call for Olympics truce,https://news.sky.com/story/ukraine-war-latest-moscow-russia-putin-nuclear-kharkiv-frontline-sky-news-live-blog-12541713,"Sat, 15 Jun 2024 18:01:42 GMT",Ukraine war latest: Putin makes 'absurd attempt to seduce West'; leaders call for Olympics truce,"{'href': 'https://news.sky.com', 'title': 'Sky News'}"
https://news.google.com/rss/search?q=world+news,Middle East and north Africa,https://www.theguardian.com/world/middleeast,"Sat, 15 Jun 2024 12:52:14 GMT",Middle East and north Africa,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
https://news.google.com/rss/search?q=world+news,Kate Middleton appears on balcony alongside royal family during Trooping the Colour parade in first appearance since ...,https://nypost.com/2024/06/15/world-news/kate-middleton-attends-trooping-the-colour-in-first-appearance-since-cancer-announcement/,"Sat, 15 Jun 2024 09:17:00 GMT",Kate Middleton appears on balcony alongside royal family during Trooping the Colour parade in first appearance since ...,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
https://news.google.com/rss/search?q=world+news,Meloni describes Putins ceasefire offer for Ukraine as propaganda,https://www.business-standard.com/world-news/meloni-describes-putins-ceasefire-offer-for-ukraine-as-propaganda-124061500691_1.html,"Sat, 15 Jun 2024 17:18:56 GMT",Meloni describes Putins ceasefire offer for Ukraine as propaganda,"{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=world+news,World leaders to attend Ukraine peace summit,https://news.sky.com/story/world-leaders-to-attend-ukraine-peace-summit-after-putin-sets-russias-conditions-for-ceasefire-13153369,"Sat, 15 Jun 2024 14:21:26 GMT",World leaders to attend Ukraine peace summit - after Putin sets Russia's conditions for ceasefire,"{'href': 'https://news.sky.com', 'title': 'Sky News'}"
https://news.google.com/rss/search?q=world+news,Kate Middleton makes first public appearance since cancer diagnosis,https://www.business-standard.com/world-news/kate-middleton-makes-first-public-appearance-since-cancer-diagnosis-124061500467_1.html,"Sat, 15 Jun 2024 14:09:47 GMT",Kate Middleton makes first public appearance since cancer diagnosis,"{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=world+news,White House’s Sullivan says Russia’s latest peace proposal is an ‘absurd vision’,https://indianexpress.com/article/world/white-houses-jake-sullivan-ukraine-russia-peace-proposal-absurd-9395068/,"Sat, 15 Jun 2024 18:12:16 GMT",White House’s Sullivan says Russia’s latest peace proposal is an ‘absurd vision’,"{'href': 'https://indianexpress.com', 'title': 'The Indian Express'}"
https://news.google.com/rss/search?q=world+news,Suffolk darts prodigy Lennon Wharf aims to become world's best,https://www.bbc.com/news/articles/c3ggxqvqv57o,"Sat, 15 Jun 2024 08:18:11 GMT",Suffolk darts prodigy Lennon Wharf aims to become world's best,"{'href': 'https://www.bbc.com', 'title': 'BBC.com'}"
https://news.google.com/rss/search?q=world+news,Sweden and Iran exchange prisoners in breakthrough deal,https://www.hindustantimes.com/world-news/sweden-and-iran-exchange-prisoners-in-breakthrough-deal-101718465574417.html,"Sat, 15 Jun 2024 15:32:54 GMT",Sweden and Iran exchange prisoners in breakthrough deal,"{'href': 'https://www.hindustantimes.com', 'title': 'Hindustan Times'}"
https://news.google.com/rss/search?q=world+news,T20 World Cup: What do England need to reach Super 8s,https://www.skysports.com/cricket/news/12123/13152775/t20-world-cup-what-do-england-need-to-reach-super-8s-and-could-australian-skulduggery-cost-them,"Sat, 15 Jun 2024 17:24:53 GMT",T20 World Cup: What do England need to reach Super 8s - and could Australian skulduggery cost them?,"{'href': 'https://www.skysports.com', 'title': 'Sky Sports'}"
https://news.google.com/rss/search?q=world+news,"Ship evacuated, ablaze after attack by Yemen's Houthis, says UKMTO",https://www.business-standard.com/world-news/ship-evacuated-ablaze-after-attack-by-yemens-houthis-says-ukmto-124061500588_1.html,"Sat, 15 Jun 2024 14:42:39 GMT","Ship evacuated, ablaze after attack by Yemen's Houthis, says UKMTO","{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=world+news,"Despite improved WHO regulations, world remains ill-prepared for the next pandemic",https://www.hindustantimes.com/world-news/despite-improved-who-regulations-world-remains-ill-prepared-for-the-next-pandemic-101718440575735.html,"Sat, 15 Jun 2024 08:57:33 GMT","Despite improved WHO regulations, world remains ill-prepared for the next pandemic","{'href': 'https://www.hindustantimes.com', 'title': 'Hindustan Times'}"
https://news.google.com/rss/search?q=world+news,Ukraine-Russia war live: Sweden scrambles fighter jets to intercept Russian bomber over Nato border,https://www.telegraph.co.uk/world-news/2024/06/15/ukraine-russia-war-latest-live-updates/,"Sat, 15 Jun 2024 16:28:35 GMT",Ukraine-Russia war live: Sweden scrambles fighter jets to intercept Russian bomber over Nato border,"{'href': 'https://www.telegraph.co.uk', 'title': 'The Telegraph'}"
https://news.google.com/rss/search?q=world+news,Russia absent as world leaders meet at Swiss resort for Ukraine peace talks,https://www.business-standard.com/world-news/russia-absent-as-world-leaders-meet-at-swiss-resort-for-ukraine-peace-talks-124061500336_1.html,"Sat, 15 Jun 2024 10:59:33 GMT",Russia absent as world leaders meet at Swiss resort for Ukraine peace talks,"{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=world+news,French protesters standing up to far right ahead of snap elections,https://www.business-standard.com/world-news/french-protesters-standing-up-to-far-right-ahead-of-snap-elections-124061500490_1.html,"Sat, 15 Jun 2024 13:25:04 GMT",French protesters standing up to far right ahead of snap elections,"{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=world+news,"Cyber attack hits Pakistani UN Mission; email, YouTube channel breached",https://www.business-standard.com/world-news/cyber-attack-hits-pakistani-un-mission-email-youtube-channel-breached-124061500451_1.html,"Sat, 15 Jun 2024 12:26:44 GMT","Cyber attack hits Pakistani UN Mission; email, YouTube channel breached","{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
https://news.google.com/rss/search?q=us+national+news,Global leader of ISIS targeted and possibly killed in U.S. airstrike,https://www.nbcnews.com/politics/national-security/global-leader-isis-mumin-targeted-possibly-killed-us-airstrike-rcna157300,"Sat, 15 Jun 2024 12:00:00 GMT",Global leader of ISIS targeted and possibly killed in U.S. airstrike,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
https://news.google.com/rss/search?q=us+national+news,"Much of U.S. braces for extreme weather, from southern heat wave to possible snow in the Rockies",https://www.kxan.com/news/national-news/ap-much-of-u-s-braces-for-extreme-weather-from-southern-heat-wave-to-possible-snow-in-the-rockies/,"Sat, 15 Jun 2024 15:18:12 GMT","Much of U.S. braces for extreme weather, from southern heat wave to possible snow in the Rockies","{'href': 'https://www.kxan.com', 'title': 'KXAN.com'}"
https://news.google.com/rss/search?q=us+national+news,US Open: Ludvig Aberg grinds to one-stroke lead as Tiger Woods misses cut,https://www.thenationalnews.com/sport/2024/06/15/us-open-ludvig-aberg-grinds-to-one-stroke-lead-as-tiger-woods-misses-cut/,"Sat, 15 Jun 2024 07:27:28 GMT",US Open: Ludvig Aberg grinds to one-stroke lead as Tiger Woods misses cut,"{'href': 'https://www.thenationalnews.com', 'title': 'The National'}"
https://news.google.com/rss/search?q=business+news,Is This Trillion-Dollar Company About to Join Nvidia in the Stock-Split Club?,https://finance.yahoo.com/news/trillion-dollar-company-join-nvidia-082500638.html,"Sat, 15 Jun 2024 08:25:00 GMT",Is This Trillion-Dollar Company About to Join Nvidia in the Stock-Split Club?,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
