Input URL,Title,Link,Published,Description,Source
https://coindesk.com,U.S. Senate Takes First Big Step to Advance Stablecoin Bill,https://coindesk.com/policy/2025/03/13/u-s-senate-takes-first-big-step-to-advance-stablecoin-bill,"Thu, 13 Mar 2025 00:00:00 GMT","The U.S. Senate Banking Committee has advanced the crypto industry's stablecoin regulation bill, a first major step toward getting the effort to President Donald Trump's desk to be signed into law.

With its first committee approval, the bill that would regulate U.S. stablecoin issuers at the federal level now needs passage by the overall Senate, and a similar version also awaits approval in the House of Representatives. While a number of hurdles remain, including an eventual melding of the different bills from each chamber, the committee advanced the bill with a 18-6 vote.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the State of Crypto Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Many Democrats on the committee acknowledged the need for the bill while also seeking to add a number of amendments to add additional regulatory controls and limits, each of which was shot down with partisan votes.

Senator Elizabeth Warren, the panel's ranking Democrat, led her colleagues' objections against certain provisions of the bill, which she said marks ""a clear threat to our national security"" in its current form. Warren grew increasingly frustrated over the course of the 2.5-hour hearing as each of her proposed amendments to the bill were rejected.

“It would be crazy to advance this bill when it’s got so many holes in it that have been pointed out, and to advance it at the exact moment that news is breaking about Donald Trump trying to create his own stablecoin with an outfit that is notorious for breaking the law,” Warren said near the end of the hearing, referring to reporting that the Trump-linked World Liberty Financial had been in talks with crypto exchange Binance. “Jamming this through while Donald Trump is out there making a deal with a criminal stablecoin platform makes no sense. We will regret this.”

Another Democrat, Catherine Cortez Masto of Nevada, complained that committee Republicans were blowing off debate during the markup — a type of hearing meant to consider and discuss amendments to a piece of moving legislation — and a number of them weren't showing up at the hearing.

""It is a great start, but it is not ready for prime time,"" the senator said of the Republican-driven bill.

""Markups are messy,"" said panel Chairman Tim Scott, a South Caroline Republican, in response. ""We've been working nights, days, weekends to get this accomplished.""

Senate Bill Hagerty, the Tennessee Republican who was the legislation's primary author, called the Guiding and Establishing National Innovation for U.S. Stablecoins Act (GENIUS Act) a ""truly bi-partisan effort"" that had taken on Democratic input. Democrats Kirsten Gillibrand of New York and Angela Alsobrooks of Maryland? cosponsored the bill, alongside a number of Hagerty's fellow Republicans.

""It presents common sense rules that protect consumers, promote competition, and foster innovation,"" Hagerty said. ""It’s time we provide the clarity and stability that our country and its innovators so desperately need.""

The crypto industry is counting on an increasingly strong majority of lawmakers in both chambers to back its policy efforts this year. So far this month, a separate effort to remove an Internal Revenue Service rule opposed by the crypto sector won wide bipartisan votes.

Read More: Crypto's IRS Victory Reveals Reach in Congress That Demands Less Compromise

It was the Democratic-majority Senate Banking Committee in the previous Congress that held back crypto legislation that had advanced in the Republican-led House. The 2024 elections put Republicans in charge of both chambers, and Scott has made stablecoin legislation one of his top opening priorities.



",coindesk
https://coindesk.com,BlackRock's Tokenized Fund BUIDL Tops $1B with Ethena's $200M Allocation,https://coindesk.com/business/2025/03/13/blackrock-s-buidl-fund-tops-usd1b-with-ethena-s-usd200m-allocation,"Thu, 13 Mar 2025 00:00:00 GMT","Global asset manager BlackRock's BUIDL token, issued in partnership Securitize and backed by U.S. Treasuries, crossed the $1 billion milestone in assets on Thursday, Securitize said.



Pushing the fund's size above the threshold was a $200 million allocation this afternoon by crypto protocol Ethena, a Securitize spokesperson told CoinDesk. Ethereum blockchain data by Arkham Intelligence shows an entity minting $200 million worth of BUIDL tokens at Thursday 18:47 UTC.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto for Advisors Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Crypto tokens backed by U.S. Treasuries are at the forefront of tokenization efforts, as digital asset firms and global financial heavyweights race to put traditional instruments such as bonds, private credit and funds on blockchain rails, aiming to achieve faster settlements and operational efficiencies.



BUIDL serves as a building block for multiple yield-generating offerings, and it's increasingly used as collateral on trading platforms. It's a key reserve asset for Ethena's yield-generating USDtb token, which now has a $540 million supply. USDtb's value is backed by USDC and USDT stablecoins and some $320 million worth of BUIDL tokens.



""Ethena's decision to scale USDtb's investment in BUIDL reflects our deep conviction in the value of tokenized assets and the significant role they will continue to play in modern financial infrastructure,"" said Guy Young, founder of Ethena.



Read more: Tokenized Treasuries Hit Record $4.2B Market Cap as Crypto Correction Fuels Growth",coindesk
https://coindesk.com,Bitcoin (BTC) Price Stumbles as Risk-Off Asset While Gold Shines,https://coindesk.com/markets/2025/03/13/gold-jumps-to-new-record-for-now-winning-debate-against-bitcoin-as-risk-off-asset,"Thu, 13 Mar 2025 00:00:00 GMT","After the meekest of rallies yesterday following some soft inflation numbers, U.S. stocks Thursday are once again headed sharply lower and apparently pulling bitcoin (BTC) along for the ride.

Just ahead of the noon hour on the east coast, the Nasdaq is lower by 1.7% and the S&P 500 by 1.2% After pushing to nearly $85,000 on Wednesday, bitcoin has retreated all the way back to $81,000, off 1% over the past 24 hours.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto Long & Short Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Gold, though, is doing what it's been doing for a thousand years — providing a haven during times of distress. The yellow metal is ahead by 1.5% to a new record high and within $10 of pushing through $3,000 per ounce for the first time ever.

Since the Nasdaq peaked for the year three weeks ago, that gauge has dropped almost 15%. Gold over that time frame has gained about 1%, while bitcoin is lower by nearly 20%.

The current outperformance might remind investors of the late summer/early fall of 2024, when crypto markets along with stocks treaded water in a sideways range while gold carved out new highs. While BTC consolidated between $50,000 and $70,000 between March and October, gold climbed almost 40% to $2,800. Bitcoin eventually rallied to above $100,000, buoyed by Trump's election victory, while the gold gains stalled as money flowed from havens into risk assets.



Highlighting where the capital is flowing, gold exchange-traded funds enjoyed their largest 30-day average inflows since early 2022, adding 3 million ounces worth of yellow metal to the funds, according to Bold.report data.

Gold ETF inflows (Bold.report)

In contrast, U.S.-listed spot bitcoin ETFs saw $5 billion in outflows in since February, experiencing the worth negative streak in their one-year history, per SoSoValue data.





",coindesk
https://coindesk.com,RWA News: Tokenized Treasuries Hit Record $4.2B Market Cap Amid Crypto Correction,https://coindesk.com/markets/2025/03/13/tokenized-treasuries-hit-record-usd4-2b-market-cap-as-crypto-correction-fuels-growth,"Thu, 13 Mar 2025 00:00:00 GMT","As cryptocurrencies have been battered in a broad-market correction over the past weeks, digital asset investors sought refuge in tokenized U.S. Treasury products.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto Daybook Americas Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Since late January, the combined market capitalization of Treasury-backed tokens grew $800 million to hit a fresh all-time record of $4.2 billion on Wednesday, data source rwa.xyz shows.

Real-world asset platform Ondo Finance's (ONDO) products, the short-term bond-backed OUSG and USDY tokens, climbed to just shy of $1 billion combined, a 53% surge in market value over the past month. BUIDL, the token issued jointly by asset manager BlackRock and tokenization firm Securitize, gained 25% during the same period to surpass $800 million. Asset manager Franklin Templeton's BENJI token expanded to $687 million, a 16% increase, while Superstate's USTB hit $363 million, up more than 63%.

A notable outlier was Hashnote's USYC, shedding over 20% of its market cap to $900 million, predominantly due to DeFi protocol Usual's decline after investor backlash. The token is the main backing asset of Usual's USD0 stablecoin, which plummeted below $1 billion supply from its January peak of $1.8 billion.

""We believe the growth of the tokenized treasury market cap during the recent crypto downturn reflects a flight to quality, similar to how traditional investors shift from equities to U.S. Treasuries during economic uncertainty,"" Brian Choe, head of research at rwa.xyz, told CoinDesk.

Choe based his analysis on comparing the market cap growth of tokenized treasuries with stablecoins between November and January, when crypto markets rallied, and from February when prices corrected.

During the recent bearish period, tokenized treasuries grew faster than stablecoins, contrary to the bullish phase, when stablecoin growth outpaced the treasury token market.

Stablecoins grew faster during the crypto rally from November to January, while tokenized treasuries' growth outpaced stablecoins over the past few weeks. (rwa.xyz)

""This signals some investors aren't exiting the ecosystem but rather rotating capital into safer, yield-bearing assets until market conditions improve,"" Choe said.",coindesk
https://coindesk.com,BNB Jumps 5% After WSJ Reports That Trump Family Held Talks to Buy Stake in Binance.US,https://coindesk.com/policy/2025/03/13/trump-family-had-held-talks-to-buy-stake-in-binance-us-report,"Thu, 13 Mar 2025 00:00:00 GMT","A Trump family representative held talks to buy a stake in Binance's U.S. arm, according to a Wall Street Journal report on Thursday.

The stake could have been acquired through Trump-family backed crypto project World Liberty Financial, the report said, citing people familiar with the matter.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the State of Crypto Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Steve Witkoff, a friend of the U.S. president, was involved in the deal talks, the report added. Witkoff and his family founded World Liberty Financial two months before Trump was elected President in November.

The talks started last year after Binance reached out to Trump's allies offering to reach a deal with the family so as to bring the crypto exchange back to the U.S.

BNB, the native cryptocurrency of the Binance linked BNB Chain, jumped as much as 5% on the news, surpassing $600 for the first time in a week.

A representative for Binance.US declined to comment on the report. However, Binance CEO Changpeng ""CZ"" Zhao said in a post on X that the Journal ""got the facts wrong.""

""I have had no discussions of a Binance US deal with … well, anyone,"" CZ wrote. The WSJ didn't report that CZ was involved in the talks, but rather that Binance executives were pursuing it.

The WSJ had also reported that CZ asked President Trump for a pardon. CZ denied he made a deal but did not explicitly say he hadn't asked for a pardon.

""No felon would mind a pardon, especially being the only one in US history who was ever sentenced to prison for a single BSA charge. Feels like the article is motivated as an attack on the President and crypto, and the residual forces of the ""war on crypto"" from the last administration are still at work. I am always happy to make crypto great everywhere, US and the rest of the world. It’s good to see that even WSJ thinks I should be pardoned,"" he continued.

The exchange just recently saw its U.S. dollar fiat services restored after it lost the ability to deposit and withdraw USD under the Biden Administration.

Former Securities and Exchange Commission (SEC) Chair Gary Gensler had previously branded Binance.US ""a cauldron of fraud"" and tried everything in his power to crack down on the exchange. As a result, the company lost thousands of customers and was forced to lay off 70% of its staff after losing billions of dollars.

Binance also took its institutional investment on Wednesday as Abu-Dhabi based investment firm MGX put $2 billion in the exchange.

UPDATE (March 11, 13:40 UTC): Adds BNB movement and Binance's comment.

UPDATE (March 11, 13:55 UTC): Adds background information on Binance.US' struggles in the U.S. market.

UPDATE (March 11, 14:50 UTC): Adds Binance CEO Changpeng Zhao's response to the report.",coindesk
https://coindesk.com,"BTC and S&P 500 Struggle Below 200-Day Moving Average, a Key Technical Level",https://coindesk.com/markets/2025/03/13/bitcoin-s-and-p-500-struggle-below-key-technical-level-in-sign-of-further-btc-price-drops,"Thu, 13 Mar 2025 00:00:00 GMT","Bitcoin (BTC) continued to struggle on Thursday as it fought to stay above $80,000. The largest cryptocurrency by market cap is currently down 3% on the day. It has declined 13% in the first quarter and is about 30% off its all-time high from January.

According to Glassnode data, short-term holders — investors who have held bitcoin for less than 155 days — are primarily considered speculators who tend to enter the market during price peaks or periods of market euphoria. Since February, they have sold more than 100,000 BTC (about $8 billion at current prices), a sign they're looking to cut losses (or lock in any profits) before prices fall further.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto Long & Short Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

The decline has pushed the bitcoin price below its 200-day moving average of $86,300. The average is an important metric for long-term market trends, and BTC isn't the only risk-on investment to drop below.

U.S. equities, as measured by the S&P 500, have also lost that level. The index is currently around 5,537 while the 200-day average is at 5,738.

According to Joe Carlasare, a commercial litigator supporting bitcoin, when the S&P 500 struggles to reclaim the 200-DMA, history suggests lower prices are in the offing.

""The S&P 500 continues to struggle to reclaim the 200 day,"" he wrote on X. ""If we can’t get a big rally above it soon, it makes sense to expect lower prices Look back historically what happens when we loose the 200 day.""



",coindesk
https://coindesk.com,Strategy's Series A Preferred Stock Has Bucked the Recent MSTR Downturn,https://coindesk.com/markets/2025/03/13/why-strategy-s-preferred-stock-strk-is-defying-mstr-s-downturn,"Thu, 13 Mar 2025 00:00:00 GMT","Disclaimer: The analyst who wrote this piece owns shares of Strategy (MSTR).



Strike (STRK), the preferred stock issued by bitcoin buyer Strategy (MSTR) has been listed for just over a month and is currently 3% higher than at its Feb. 5 introduction. Strategy's common stock, on the other hand, is 20% lower over the same period.

Preferred stock like STRK can be thought of as a hybrid of equity and debt. Holders have a greater right to dividend payments than common stock owners if the company makes them and also to the company's assets in the event of a liquidation. STRK is a perpetual issue, which lacks a maturity date (like equity) and pays a fixed dividend (like debt).

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto Long & Short Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

Those features mean preferred stock tends to be less volatile than the common stock. That certainly seems to be the case for STRK. According to Strategy's dashboard, STRK has a 26% correlation with MSTR and a slightly negative -7% correlation with bitcoin (BTC). It's also less volatile, at 49%, compared with bitcoin’s roughly 60% and MSTR’s volatility exceeding 100%.

Last week, Strategy announced a $21 billion at-the-market (ATM) offering for STRK. That is, it's prepared to sell up to that amount of the stock at the current market price over a period of time. If all the STRK is sold, the company would face a total annual dividend bill of about $1.68 billion.

Generating that amount of cash means the company would either to sell common stock through an ATM offering — unlikely given the depressed share price as of late —or use cash generated from operations or proceeds from any convertible debt raised.

STRK offers an 8% annual dividend yield based on its $100 liquidation preference and at the currently price of $87.45, offers an effective yield of around 9%. As with debt, the higher the STRK price, the lower the yield, and vice versa.

STRK also includes a feature allowing each share to be converted into 0.1 share of common stock, equivalent to a 10-to-1 ratio, when the MSTR price reaches or exceeds $1,000. Strategy stock closed at $262.55 on Wednesday, for the option to become viable it would have to appreciate significantly, offering potential upside beyond STRK’s fixed dividend.

As an income-generating product with lower volatility, STRK presents a more stable option with potential upside. However, the massive ATM offering could impact this potential upside, similar to how ATM share sales have affected the common stock’s performance.",coindesk
https://coindesk.com,Ripple Bags UAE Crypto Payments as XRP Inches Higher,https://coindesk.com/markets/2025/03/13/ripple-bags-dubai-license-to-offer-crypto-payments-in-uae,"Thu, 13 Mar 2025 00:00:00 GMT","Ripple said on Thursday that it had received approval from the Dubai Financial Services Authority (DFSA) to provide regulated crypto payments and services in the UAE, becoming the first blockchain-enabled payments provider licensed by the agency.

“We are entering an unprecedented period of growth for the crypto industry, driven by greater regulatory clarity around the world and increasing institutional adoption,” said Brad Garlinghouse, chief executive officer of Ripple, in a release.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the Crypto for Advisors Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

“Thanks to its early leadership in creating a supportive environment for tech and crypto innovation, the UAE is exceptionally well-placed to benefit.”

Ripple said it has seen increasing demand across the Middle East from crypto-native firms and traditional financial institutions, and has around 20% of its global customer base already operating in the Middle East.

Payments utility is also expected to drive greater stablecoin adoption in the UAE, with stablecoins offering real time settlements. That can drive further growth for Ripple’s RLUSD stablecoin — which stands at a $134 million capitalization as of Thursday (meaning an equivalent amount in USD backing).

Ripple’s DFSA license adds to its growing list of over 60 regulatory approvals worldwide, including a Major Payments Institution license from the Monetary Authority of Singapore (MAS), a New York Department of Financial Services (NYDFS) Trust Charter, a Virtual Asset Service Provider (VASP) registration from the Central Bank of Ireland, and Money Transmitter Licenses (MTLs) across multiple U.S. states.

XRP prices are up nearly 4% in the past 24 hours, beating gains in bitcoin (BTC), as the long-running Ripple vs SEC court case is reportedly reaching its final settlement stages.",coindesk
https://coindesk.com,Crypto's IRS Victory Reveals Reach in Congress That Demands Less Compromise,https://coindesk.com/news-analysis/2025/03/13/crypto-s-irs-victory-reveals-reach-in-congress-that-demands-less-compromise,"Thu, 13 Mar 2025 00:00:00 GMT","U.S. crypto lobbyists watched with excitement in recent days as a pair of votes cemented what they'd hoped: Congress is on their side.

The industry that battled with pariah status just three years ago has staunch allies now in the White House and inside the U.S. financial agencies, and the recent votes in the Senate and House of Representatives on an Internal Revenue Service rule demonstrate that their support among lawmakers runs deep. So many Democrats joined the sector's reliable Republican allies on those votes that crypto advocates suggest they may not have to give up much in negotiations over legislation that matters even more.

Just before he left office, former President Joe Biden's IRS put a final stamp on a rule to pursue decentralized finance (DeFi) projects as brokers that would have to conduct the full range of tax reporting for users. The House and Senate both cast votes over the past week and a half under the Congressional Review Act to kill that rule, and both of those votes succeeded by massive margins, thanks to 19 Democrats in the Senate and 76 in the House who bucked the policy of their party's administration.

With more than a third of Democrats on board in each chamber, there's little reason to suspect those Democrats wouldn't also be positively inclined to support other crypto topics.

""For years, we’ve been playing defense — trying to protect the industry from hostile regulators and relying on compromises that, in many cases, weakened the final legislative product,"" said Kristin Smith, CEO of the Blockchain Association that advocates for pro-crypto policy in Washington. ""But now we’re able to think a bit more expansively about what’s possible at the federal level.""

The digital assets bill that's closest to completion is the effort to govern U.S. stablecoin issuers. With a House version getting a once-over in committee this week and the Senate's version heading toward a potential sign-off by the Senate Banking Committee, the two chambers may soon find themselves voting on the finished legislation. In a period of extreme partisanship, crypto could be one of the few issues to stand on common ground.

As the details are hashed out, an industry that may once have been pressured into aggressive controls on anti-money-laundering systems in order to maintain the support of some Democrats could instead afford to press on without giving ground, crypto insiders are noting.

The industry's bigger prize, though, is the future legislation that will once-and-for-all set a clear system of regulations for U.S. crypto trading and transactions, and for the businesses and projects that handle people's digital assets needs. If Congress passes such a bill on the operation of the crypto markets, it eliminates any legal fumbling by federal agencies trying to fit existing laws onto the sector, and it would negate the need to look for answers in the courts.

Lawmakers are trying to build off previous efforts — most notably the Financial Innovation and Technology for the 21st Century Act (FIT21), which passed the House in the last session, but not the Senate. While a replacement effort may be further out than stablecoins, when it starts moving through this Congress, it could have a significantly easier path than its predecessor.

Even on the same day lawmakers were preparing for the ultimate partisan exercise as President Donald Trump prepared to make his recent address to Congress, the parties made their huge bipartisan showing in the Senate. That ""rare and fleeting"" congressional cooperation should allow the lawmakers to focus on the actual policy, Smith said.

How did crypto get here?

Congress was flooded with new allies after the 2024 elections, in which the industry-backed Fairshake political action committee expended about $139 million to help get pro-crypto lawmakers from both parties elected. Potentially as important in the ongoing legislative negotiations, though, is the fact that the super PAC is already sitting on $116 million (and growing) to do the same next year. As lawmakers approach their votes this year, they'll know that a pro-crypto vote has a good chance of resulting in campaign dollars, and an opposition vote will likely result in spending aimed to snuff out their political careers.

The main sources of money behind Fairshake are Coinbase, a16z and Ripple Labs, with other backers including Jump Crypto and Uniswap Labs. Coinbase CEO Brian Armstrong said in an interview outside the White House crypto summit last week that his company will keep supporting Fairshake, which he said ""did an incredible job.""

""Our supporters in this industry are deeply committed to this political strategy,"" said Josh Vlasto, a spokesman for Fairshake, in an interview with CoinDesk. ""We are seeing it in action now, and are going to continue to press forward.""

He said the IRS votes were ""a direct result of that strategy,"" which ignored politicians' other views and party affiliations to focus only on whether they'd push for crypto bills.

""There's tremendous political benefit in supporting the growth and smart regulation of the industry,"" Vlasto said.

Even before the recent elections, FIT21 had earned major Democratic support in the House, and a separate effort to try to get rid of a Securities and Exchange Commission crypto accounting policy saw significant bipartisan support in both chambers. The industry was already making headway.

Then the course of the last congressional-election cycle saw a clear rise in voter experience with cryptocurrencies and an increasing interest that the space be regulated. Groups such as the Coinbase-backed Stand With Crypto have sought to tap into that crypto-interested segment of the population.

""That's how we got this most pro-crypto Congress that we've ever seen,"" Armstrong said.



",coindesk
https://coindesk.com,The State of DAO M&A,https://coindesk.com/opinion/2025/03/13/the-state-of-dao-m-and-a,"Thu, 13 Mar 2025 00:00:00 GMT","In late 2021, two DeFi DAOs — Fei Protocol and Rari Capital — embarked on what was supposed to be a transformative merger. The idea was simple: Fei, with its algorithmic stablecoin, would join forces with Rari, a pioneer in permissionless lending pools, to create a DeFi powerhouse governed by a single DAO. Their communities approved the merger with overwhelming support, and in December, Tribe DAO was born.

Nine months later, it was dead.

STORY CONTINUES BELOW Don't miss another story. Subscribe to the The Node Newsletter today . See all newsletters Sign me up By signing up, you will receive emails about CoinDesk products and you agree to our terms of use and privacy policy .

The Fei-Rari collapse sent shockwaves through the ecosystem, but it was hardly the only DAO M&A, even in 2021. Gnosis and xDAI (a qualified success), Aragon and Vocdoni (a middling failure), Yearn and Cream/Sushi/Pickle (hard to tell) all came together. Since 2020, more than 65 deals have been executed by DAOs looking to scale, merge or consolidate. Today, the state of DAO M&A is more vibrant than ever.

Traditional M&A has clear playbooks. Corporate boards negotiate deals, investment banks structure financing, and legal teams ensure compliance. But DAOs have been operating in uncharted waters. Governance is chaotic. There’s no CEO to sign off on a deal, and token holders vote, often with unpredictable outcomes. Or they learn about it after the fact, as with Aragon's community.

As we discovered in writing the State of DAO M&A report: valuations are murky, as DAO tokens fluctuate wildly, making it difficult to price acquisitions fairly or to satisfy token holder expectations, as evidenced in Fei-Rari and in Gnosis-xDAI. Regulation is a landmine. The absence of standards for legally binding DAO transactions prevents potentially valuable agreements from being implemented.

Instead, DAOs are turning to token migrations and swap contracts as workarounds to regulatory uncertainty. Security concerns remain challenging for DAOs, as hacks can erase billions in value overnight. Just ask Fei's token holders, who had to cover $80 million in the Rari exploit.

And sometimes the ""mergers"" aren't mergers at all: Yearn Finance’s advertised mergers with Yearn, PIckle, Cream, SushiSwap, and Akropolis were really a series of loose partnerships that generated significant confusion over governance and responsibilities.

With all that said, we believe that M&A can be a DAO superpower. That is, DAOs can feasibly execute M&As more efficiently and recognize more synergies than any traditional organization. Imagine standardized swap and acquisition contracts, platforms for M&A discovery, or protocol conglomerates that create richer, more integrated on-chain ecosystems.

Despite challenges, DAO M&A is here to stay. If anything, the increasing complexity of Web3 ecosystems makes consolidation inevitable. But, for future deals to succeed, DAOs must rethink how they approach M&A. Better governance alignment is crucial, as DAOs need structured frameworks to align stakeholder incentives and avoid the infighting that doomed Fei-Rari.

More thoughtful valuations are necessary since a token swap is not the same as a cash buyout; valuation models must account for token liquidity, governance power, and future earnings potential. Security must be a top priority, with rigorous smart contract audits and stress tests to prevent both catastrophic exploits. And DAOs must engage with these complex dynamics instead of hand-waving them away — and invest in the infrastructure and partnerships to execute them.

If DAOs can learn from these early experiments, M&A could become a critical tool for building resilient and scalable decentralized organizations.

But we’re not there yet. Merging DAOs isn’t just about putting two treasuries together. It’s about integrating communities, governance structures, and technical systems in ways that enhance — not undermine — the value of these organizations.

The full State of DAO M&A (February 2025) report by DAOstar, Areta, and Emory University is available here.",coindesk
