Input URL,Title,Link,Published,Description,Source
https://webmd.com,Undetectable & How to Get There,https://blogs.webmd.com/hiv/20250318/undetectable-and-how-to-get-there,"Tue, 18 Mar 2025 00:00:00 GMT","If you've heard the term “undetectable” in the context of HIV, you might wonder what it means and why it’s so important. As someone who’s lived with HIV since birth and worked in HIV care for years, I want to break it down in a way that’s easy to understand.

What Does Undetectable Mean?

Being undetectable means the amount of HIV in your blood is so low it can’t be detected by blood tests. This doesn’t mean the virus is gone from your body completely, but it does mean:

The virus is under control.

Your immune system isn’t being attacked. This helps keep you healthy and able to live a normal life.

You can’t transmit HIV! This is known as U=U (Undetectable = Untransmittable), the best thing to ever happen to the HIV world .

Get enough sleep.

Simply put, if you’re undetectable, you can’t pass HIV to someone else through your blood, semen, vaginal fluid, or breast milk.",webmd
https://webmd.com,Pain and Your Workplace,https://blogs.webmd.com/pain-management/20250318/pain-and-your-workplace,"Tue, 18 Mar 2025 00:00:00 GMT","For many people, pain is a constant companion during their workday. Whether you type at a desk for hours, carry heavy loads, or hammer away at a keyboard, physical pain can hinder your productivity, focus, and overall well-being.

Fortunately, through some adjustments and coping mechanisms, your workplace pain can be effectively managed so you feel comfortable and perform your best.

In this blog post, we’ll explore how ergonomics and coping mechanisms can help reduce your pain in the workplace.

What Is Workplace Pain and Why Does It Occur?

Pain at work is caused by various factors, including repetitive movement, poor posture, or improperly set workstations. Some of the most frequent types of pain people endure in the workplace include:

Back pain: Usually caused by sitting for a long period or lifting heavy weights without good form.

Neck and shoulder pain: Usually caused by poor posture or configurations at the workstation.

Hand and wrist pain: Common when you type for extended periods or abuse a mouse.",webmd
https://news-medical.net,The Natural Molecule That Could Rival Ozempic,https://www.news-medical.net/health/The-Natural-Molecule-That-Could-Rival-Ozempic-for-Weight-Loss.aspx,"Tue, 18 Mar 2025 05:52:00 GMT","Introduction

Discovery of the non-incretin peptide hormone

Mechanism of action

Comparative analysis with ozempic

Future research and potential applications

Conclusion

The World Health Organization (WHO) reports that more than 40% of adults worldwide are overweight or obese — a statistic that has nearly tripled since 1975.1,2 However, sustainable weight loss remains one of the greatest challenges in modern medicine.

The rising prevalence of obesity has provided impetus for the development of effective weight loss treatments. Furthermore, excess body weight is also linked to an increased risk of type 2 diabetes, cardiovascular disease, and other metabolic disorders, making obesity a significant public health concern.3

Image Credit: Alones/Shutterstock.com

Introduction

Dietary and herbal supplements, including taxifolin, green tea extract, chromium picolinate, ephedra, guarana, caffeine, and hydroxycitric acid, have been studied for weight loss due to their effects on metabolism, appetite suppression, and fat oxidation.2,4 However, their long-term safety remains unclear, with some linked to liver and kidney damage.4

Systematic reviews on herbal preparations like ephedra, green tea, Garcinia cambogia, and Bofutsushosan indicate mechanisms such as appetite suppression and thermogenesis.5 While some trials show modest weight loss, others highlight serious risks, such as ephedra’s cardiovascular effects, leading to its ban in multiple countries.5 Garcinia cambogia and green tea extract show inconsistent results, with safety concerns often poorly documented.5

Given these uncertainties, pharmacological interventions like GLP-1 receptor agonists, such as semaglutide (Ozempic), have gained attention for weight loss.6 Semaglutide mimics incretin hormones, enhancing insulin secretion, delaying gastric emptying, and suppressing appetite, leading to approximately 12% weight loss in clinical trials.6 However, it carries risks like nausea, vomiting, pancreatitis, and high costs, limiting accessibility.7

To address these issues, researchers are investigating naturally occurring peptides. Computational peptide discovery has led to BRINP2-related peptide (BRP), a non-incretin hormone identified through prohormone cleavage prediction.8

This article explores BRP’s discovery, mechanism, efficacy, and potential as a natural alternative to GLP-1 receptor agonists.

Discovery of the non-incretin peptide hormone

A recently published study by a team of scientists from Stanford University identified BRP using Peptide Predictor, a computational tool that the team developed to systematically map the proteolytic peptide fragments formed through cleavage by prohormone convertases.

This method allowed the researchers to screen over 2,600 previously uncharacterized peptides, ultimately leading to the identification of BRP. Unlike GLP-1 analogs, BRP does not interact with the GLP-1 receptor, making it mechanistically distinct from existing weight loss medications.8

Preclinical studies revealed that BRP administration significantly reduced food intake and promoted weight loss in mice and pigs. Importantly, these effects occurred independently of leptin, GLP-1, or melanocortin 4 receptor signaling, indicating a unique appetite-regulation mechanism.8

Additionally, BRP did not induce nausea or aversion in animal models, suggesting a potentially improved tolerability profile compared to Ozempic and other GLP-1-based therapies.

Download your PDF copy now!

Mechanism of action

BRP exerts its effects through central and peripheral pathways that modulate energy homeostasis. Unlike GLP-1 agonists, which primarily act by delaying gastric emptying and enhancing insulin secretion, BRP operates via the following mechanisms:

Hypothalamic activation: BRP triggers the expression of the FOS gene, a key marker of neuronal activation associated with appetite suppression, in the hypothalamus.8 This suggests that BRP directly influences brain circuits regulating hunger and satiety.

Increased lipid oxidation and energy expenditure: Unlike incretin-based therapies, which primarily affect insulin secretion and glucose metabolism, BRP enhances lipid oxidation, leading to increased fat burning and metabolic activity without causing glycemic instability.

Absence of gastrointestinal side effects: One of the most significant advantages of BRP over semaglutide in animal studies is its lack of nausea and aversion. The researchers believe that this improved tolerability may enhance long-term adherence among individuals seeking sustained weight loss.8

Adipose metabolism: Additionally, BRP has been observed to influence adipose tissue metabolism, increasing thermogenesis in brown adipose tissue.8 This suggests that BRP not only reduces food intake but also enhances energy expenditure, making it a dual-action weight loss agent.

Are GLP-1 Drugs the Future of Alcohol Addiction Treatment?

Comparative analysis with ozempic

While both BRP and semaglutide demonstrate potent weight loss effects, their mechanisms of action, efficacy, and tolerability differ significantly. Semaglutide is a GLP-1 receptor agonist that mimics incretin hormones to enhance insulin secretion, delay gastric emptying, and suppress appetite.6

In contrast, BRP operates through a non-incretin pathway, targeting the hypothalamus to regulate energy balance independently of GLP-1 receptor activation.8

In terms of appetite suppression, both agents are highly effective. Semaglutide activates the GLP-1 receptor to reduce hunger, while BRP suppresses appetite through direct hypothalamic activation. Preclinical studies have shown that BRP administration reduced food intake by up to 50% in mice within an hour.8

Semaglutide has been rigorously tested in human clinical trials, demonstrating an average placebo-corrected weight loss of approximately 12% over 68 weeks.7 Although BRP is still in the preclinical stage, it has shown significant fat loss in animal studies, suggesting strong potential for human application.8

Where the two agents differ markedly is in the risk of adverse reactions. Semaglutide is known to frequently cause gastrointestinal issues, including nausea, vomiting, and diarrhea, which can limit its tolerability for some patients.7

Furthermore, loss of muscle mass has also been associated with Ozempic use, with even popular media reporting drastic changes in appearance in Ozempic users. In contrast, BRP has not demonstrated any noticeable adverse effects in animal models, suggesting a potentially superior safety profile.8

However, while semaglutide improves insulin secretion and glycemic control, making it particularly beneficial for individuals with type 2 diabetes, BRP’s effects on glucose metabolism remain unclear and require further investigation.6,8

Who Should Take Weight Loss Injections, and Who Shouldn’t?

Future research and potential applications

Although BRP presents a promising candidate for obesity treatment, additional research is needed to translate preclinical findings into clinical applications. Laetitia Coassolo, the lead researcher on the study that discovered BRP, and her team believe that future investigation on the efficacy, safety, and long-term impacts of BRP should consist of large-scale clinical trials to validate BRP’s safety and effectiveness across diverse populations.8

Evaluating BRP’s impact on metabolic markers, cardiovascular health, and sustained weight maintenance will be essential for regulatory approval and clinical adoption. Additionally, understanding the bioavailability, metabolic stability, and optimal dosing strategies for BRP will be crucial for its therapeutic success.

Furthermore, given its distinct mechanism of action, BRP could be explored as a complementary therapy alongside existing weight loss medications, such as GLP-1 receptor agonists.

Conclusions

The discovery of BRP through prohormone cleavage prediction represents a significant breakthrough in obesity research. By functioning independently of the incretin pathway, BRP offers a novel therapeutic approach with fewer side effects compared to GLP-1 agonists like Ozempic.

While further research is needed to validate its safety and efficacy in humans, BRP has the potential to emerge as a viable, naturally derived alternative for effective and well-tolerated weight management.

References

Further Reading",news-medical
https://news-medical.net,Study sheds light on why women experience chronic pain more than men,https://news-medical.net/news/20250318/Study-sheds-light-on-why-women-experience-chronic-pain-more-than-men.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","A new study led by University of Calgary professor Dr. Tuan Trang, PhD, may help to explain why there is an over-representation of women experiencing chronic pain compared to men. In 2019, the Canadian Pain Task Force report found chronic pain is more common among females of all ages, including children, when compared to males.

Both males and females develop pain, but each sex develops it through different means. This study identifies a very unique type of biological process through a specific immune cell that is distinctive to each sex."" Dr. Tuan Trang, PhD, Professor in the Faculty of Veterinary Medicine, and Cumming School of Medicine (CSM)

The study, published in Neuron, focused on neuropathic pain, which is caused by injury to a nerve or the nervous system. A debilitating symptom of this is allodynia which is experienced when someone feels pain from a stimulus that does not typically cause pain. This condition can be very hard to treat; for instance, things like a light touch, temperature changes, and clothing against the skin can be agonizing. The study, conducted in rats and mice, found that in both sexes pain signals can be communicated by pannexin 1 (Panx1) channels but through different types of immune cells. However, in female rodents, activation of Panx1 releases leptin, a hormone which has been associated with heightened pain sensitivity.

""Injury to a nerve can be debilitating,"" says Trang. ""We know that a lot of preclinical research has been in male subjects. Consequently, treatments were often developed from a male-based understanding and may not be very effective in females.""

Heightened levels of leptin in females experiencing chronic pain have been recorded in studies before. Trang notes that as far back as the 1980s, researchers who were working with human blood samples found that female patients experiencing chronic pain had higher levels of leptin in their blood than those who did not have chronic pain.

""In the clinic, we've known for many years that women are more likely than men to suffer from chronic pain, and it's often hard to know why some people respond to treatment and others don't,"" says Dr. Lori Montgomery, MD '03, pain clinician and clinical associate professor at the CSM. ""Both sex and gender are important factors that need a lot more investigation, but this latest research might prove to be one of the ways that we can personalize treatment for patients so that it's more likely to be effective.

The first authors of this paper are Churmy Y. Fan, PhD, Brendan B. McAllister, PhD, and Sierra Stokes-Heck.",news-medical
https://news-medical.net,Study explores Long Covid prevalence and uncertainty in England,https://news-medical.net/news/20250318/Study-explores-Long-Covid-prevalence-and-uncertainty-in-England.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","Almost one in ten people (9.1%) in England think they could have Long Covid but aren't sure, according to a new analysis of NHS England survey data by the University of Southampton.

Researchers also found that 4.8% of people reported having Long Covid, with higher rates among people living in deprived areas, people with particular ethnic backgrounds, parents or carers, and those with another long-term condition.

The findings are published today [18 March] in the journal Health Expectations.

Professor Nisreen A Alwan, who has pioneered research into Long Covid since 2020 and who co-authored the study, said: ""This analysis adds further evidence of the unfairness of Long Covid, with people who are already disadvantaged in society more likely to be affected.

""It also shows us that many people aren't sure if they have it, and may need diagnosis, treatment and support.

""Long Covid is still a very significant issue impacting individuals, families, the economy and wider society. We need to do more to prevent it, diagnose it, and properly support people who are affected by it.""

Long Covid is a chronic condition induced by COVID-19 infection that can have a significant impact on people's daily lives. Symptoms include fatigue, feeling short of breath, 'brain fog', and heart palpitations, amongst many others.

University of Southampton researchers analysed over 750,000 responses to the GP Patient Survey (England) 2023 to explore the prevalence of Long Covid, and the factors associated with both having the condition and being uncertain of having it.

They found that people aged under 25yrs, males, people from particular ethnic minorities, and people without long-term conditions were more likely to be unsure if they had Long Covid.

Men are generally less likely to seek medical advice than women, which could partly explain their higher level of uncertainty. The team also say stigma and self-doubt could discourage people from seeking a diagnosis.

Mirembe Woodrow, who is studying for a PhD at Southampton and who carried out the analysis, said: ""We were really surprised to find so many people weren't sure whether they had Long Covid or not, and the study shows there is still work to do to increase awareness of the condition and remove barriers to accessing diagnosis, treatment and support.

""We don't want Long Covid to be another factor that contributes to the widening health gap in the UK.""

The most recent data from the 2024 GP Patient Survey indicates Long Covid prevalence and uncertainty are not declining (5.0% and 9.0%). Professor Alwan's team intends to carry out further work using the survey to understand what could be driving inequality in prevalence, impact and support for Long Covid.",news-medical
https://news-medical.net,Identifying genetic resistance factors and antimicrobial resistance phenotypes in MRSA strains,https://news-medical.net/news/20250318/Identifying-genetic-resistance-factors-and-antimicrobial-resistance-phenotypes-in-MRSA-strains.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","With the rising prevalence of methicillin-resistant Staphylococcus (S.) aureus (MRSA), a multi drug resistant strain, treatment has become a challenge. The infection frequently involves the skin and soft tissue, but it can also cause other life-threatening systemic illnesses including endocarditis, meningitis, and toxic shock syndrome.

The known antibiotic resistance determinants, mecA and mecC, detected in MRSA isolates exhibit a broad spectrum of cross-antibiotic resistance. This study identified three functional protein families, through sequencing, that confer extensive antibiotic resistance independent of mecA and mecC. Twenty-six isolates had their DNA sequenced for mepR, mepA, mepB, and sapep genes for correlation with their antimicrobial phenotypes.

Transcriptional profiling revealed that both animal and human MRSA isolates exhibited a gene cluster mepRAB (multidrug export protein gene), encoding a MarR-like transcriptional regulator (mepR), a M20/M25/M40 metallo-hydrolase protein gene (sapep) encoding resistance to biocides and carbapenems, and a hypothetical protein gene of unknown function (mepB).

The work entitled ""Genetic resistance factors and antimicrobial resistance phenotypes in methicillin-resistant Staphylococcus aureus isolates of animals and humans"" was published on One Health Bulletin (published on Jan. 23, 2025).",news-medical
https://news-medical.net,Immature platelet fraction can be a predictive tool to monitor platelet recovery in dengue fever patients,https://news-medical.net/news/20250318/Immature-platelet-fraction-can-be-a-predictive-tool-to-monitor-platelet-recovery-in-dengue-fever-patients.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","Dengue fever's clinical progression is closely tied to platelet dynamics, yet predicting recovery remains challenging. Immature platelet fraction (IPF) is recognized as a marker for thrombopoiesis, but its role in dengue has been underexplored.

This finding indicates that IPF% can be utilized as a predictor of platelet increase in patients with dengue infection. Additionally, IPF has been used as a marker to determine the etiology of thrombocytopenia, whether it is caused by excessive platelet destruction or decreased platelet production in the bone marrow, as observed in patients with dengue infection.

These findings suggest that IPF can be utilized as an additional predictive tool to monitor platelet recovery and identify the etiology of thrombocytopenia. However, it is important to note that recovery from dengue infection is not solely determined by platelet count. The restoration of platelet levels is merely one of the indicators of the recovery phase in dengue.

The work entitled ""Immature platelet fraction as a clinical predictor for enhanced platelet recovery in patients with dengue fever"" was published on One Health Bulletin (published on Feb. 27, 2025).",news-medical
https://news-medical.net,WIN Consortium revolutionizing precision oncology for cancer patients,https://news-medical.net/news/20250318/WIN-Consortium-revolutionizing-precision-oncology-for-cancer-patients.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","A new precision oncology paper was published in Oncotarget, Volume 16, on March 12, 2025, titled ""Worldwide Innovative Network (WIN) Consortium in Personalized Cancer Medicine: Bringing next-generation precision oncology to patients.""



Led by Oncotarget Editor-in-Chief Dr. Wafik S. El-Deiry and a global team of researchers, this special publication highlights the groundbreaking work of the Worldwide Innovative Network (WIN) Consortium, a global collaboration dedicated to transforming cancer care through personalized medicine. By leveraging artificial intelligence (AI), molecular profiling, and innovative clinical trials, WIN is helping clinicians tailor treatments to each patient's unique cancer profile-moving beyond the traditional one-size-fits-all approach.



The WIN Consortium is a fast-moving, non-profit organization bringing together nearly 40 academic, industry, and research institutions, along with patient advocacy groups, across 18 countries and five continents. Founded in 2010 in France by Dr. John Mendelsohn (MD Anderson Cancer Center) and Dr. Thomas Tursz (Gustave Roussy), WIN has been led by different renowned experts. Currently under Dr. El-Deiry's leadership, WIN continues to break barriers in cancer research, ensuring cutting-edge treatments reach patients worldwide.

""The WIN global consortium is ready to take up the challenge by bringing the best possible Precision Oncology trial to patients.""

One of WIN's most significant contributions is the development of N-of-1 clinical trials, a revolutionary approach that personalizes cancer treatment based on a patient's specific tumor characteristics. Unlike traditional trials that test drugs on large groups, N-of-1 trials focus on finding the best therapy for an individual patient using AI-driven algorithms, genomic analysis, and real-world data. WIN's WINTHER trial was one of the first to use both DNA and RNA analysis to match patients with the most effective therapies, while the WINGPO trial builds on this approach by integrating AI and liquid biopsies to refine treatment selection. These innovations are helping clinicians make more precise treatment decisions and improving outcomes for cancer patients.



While advancing research, the WIN Consortium is also addressing major challenges in precision oncology, including drug accessibility, regulatory barriers, and disparities in global healthcare. By working closely with governments, pharmaceutical companies, and advocacy organizations, WIN is aiming to ensure that life-saving treatments are accessible to all patients, regardless of location or financial status.



WIN's mission is clear: to accelerate the future of precision oncology by delivering the latest scientific advancements into real-world cancer care. As the field continues to evolve, WIN remains at the forefront, developing next-generation trials and leveraging AI-driven insights to improve patient outcomes. Through global collaboration and groundbreaking research, the WIN Consortium is shaping a future where every cancer patient receives the most effective, personalized treatment possible.",news-medical
https://news-medical.net,Breast cancer treatments contribute to aging acceleration in survivors,https://news-medical.net/news/20250318/Breast-cancer-treatments-contribute-to-contribute-to-aging-acceleration-in-survivors.aspx,"Tue, 18 Mar 2025 00:00:00 GMT","A new research paper was published by Aging (Aging-US) on March 7, 2025, titled ""Accelerated aging associated with cancer characteristics and treatments among breast cancer survivors.""



Led by first author Cong Wang and corresponding author Xiao-Ou Shu from Vanderbilt University, this study examines how breast cancer and its treatments contribute to accelerated aging in survivors. Their study revealed that breast cancer patients show signs of faster biological aging compared to cancer-free individuals, with long-term effects lasting up to ten years post-diagnosis. This finding raises concerns about the potential lasting impact of cancer therapies on aging and overall health.



Breast cancer is one of the most common cancers in women worldwide, with improved treatments leading to longer survival rates. However, emerging evidence suggests that these treatments may also accelerate aging. The study used Phenotypic Age Acceleration (PAA), a biological marker that estimates a person's aging rate based on blood tests. Researchers compared data from 1,264 breast cancer patients and 429 cancer-free controls. The results indicated that breast cancer survivors had significantly higher PAA at diagnosis and continued to show signs of accelerated aging up to ten years later.

""This is the first large study with 10 years of follow-up to evaluate PAA among BC survivors.""

The study found that tumor severity played a role in aging acceleration. Women with advanced-stage (Stage III/IV) or high-grade tumors showed the highest levels of aging acceleration. Additionally, treatments such as chemotherapy and endocrine therapy were linked to increased biological aging. One year after diagnosis, chemotherapy was associated with the most significant rise in PAA, while endocrine therapy had long-term effects, increasing aging markers even ten years after treatment.



Interestingly, not all cancer treatments had the same effect. Surgery and radiation therapy were associated with lower aging acceleration over time. These findings suggest that systemic therapies, which affect the whole body, may contribute more to aging-related changes than localized treatments.



The findings highlight the need for ongoing monitoring of breast cancer survivors beyond their initial recovery. Understanding how cancer treatments influence aging can help improve post-treatment care and potentially lead to strategies that reduce these effects. Further research is needed to explore whether lifestyle changes, medications, or other interventions could slow down aging in cancer survivors.



As the number of breast cancer survivors continues to grow, addressing the long-term health consequences of cancer treatment is crucial. This study provides valuable insights into how different factors contribute to accelerated aging, helping to shape future research and healthcare approaches for breast cancer survivors.",news-medical
https://news-medical.net,The CDMO Surge: Why Pharma Is Outsourcing More Than Ever,https://news-medical.net/life-sciences/The-CDMO-Surge-Why-Pharma-Is-Outsourcing-More-Than-Ever.aspx,"Tue, 18 Mar 2025 09:19:00 GMT","What are CDMOs and why are they important?

Key drivers behind the CDMO surge

Case studies and industry examples

Future of CDMO Partnerships

Preclinical research is crucial for the development of any novel drug. It demands significant resources that are often expensive and inaccessible to biotechnology and pharmaceutical companies of all sizes.

Federal regulations like the Current Good Manufacturing Practices (cGAMPs) enforced by the United States Food and Drug Administration (FDA), European Medicines Agency (EMA), and other international organizations also set specific requirements that these companies must follow for the manufacturing, processing, and packing of a drug product, which may further constrain companies’ operational capabilities.

To overcome these challenges, both pharmaceutical and biotechnology companies often leverage the experience of strategic partners like contract development and manufacturing organizations (CDMOs) to bring new drugs to the marketplace.

Some of the key advantages of CDMOs include their cost efficiency, particularly when compared to the time and investment required to build this type of infrastructure in-house, as well as their supply chain resilience and regulatory compliance.

Image Credit: i viewfinder/Shutterstock.com

What are CDMOs and why are they important?

A full-service CDMO needs to provide comprehensive end-to-end capabilities that support the entire pharmaceutical development and manufacturing process.1”

Recent estimates suggest that the CDMO market in the United States will reach over $278 billion by 2026, with oncology drugs accounting for about 35% of CDMO activity. Rising investments in the CDMO sector are largely attributed to greater complexity associated with the development of novel drugs and medical devices, as well as globalization and emerging markets.

Some key services offered by CDMO include formulation development, regulatory support, clinical trial services, commercial product packaging, supply chain management, quality assurance, and technology transfer solutions2.

One of the key advantages of CDMOs is that all of these services can be offered in a comprehensive package from a single organization, thereby simplifying the drug development and manufacturing process into a “one-stop shop.”

The effective delivery of these services is achieved through a team of staffed and highly experienced scientists and engineers who are actively involved in the development and manufacturing of pharmaceutical products.

CDMO facilities are also equipped with highly specialized equipment and facilities that prevent companies from making large capital investments in developing this infrastructure.

Pharma CMOs: Who are they? how do they make money? and how to choose one? Play

How Process Development Enhances Drug Discovery Outcomes

Key drivers behind the CDMO surge

By serving as strategic partners and providing comprehensive drug development and manufacturing services, CDMOs can help pharmaceutical and biotechnology companies on the journey from discovery to commercialization and beyond.2”

Bringing a new drug to market is a time-consuming process that typically takes between 10 and 15 years, with a total investment of about $2.6 billion USD. CDMOs can reduce costs by accelerating drug production timelines through the use of their expertise to solve formulation challenges and meet regulatory requirements.

The quality of a pharmaceutical product is determined by the safety and efficacy of its active ingredients and formulation, which requires appropriate manufacturing processes that produce the least amount of waste.

Various factors may negatively impact the quality of pharmaceutical manufacturing processes, which can lead to wasted materials, discarded product batches, supply disruptions, and product recalls, all of which are associated with significant financial losses.

Every dollar spent in preventing poor quality is equal to $10 if the problem is taken to production without being addressed and $100 dollars if it moves to the distribution stage.3”

The investment in a reliable CDMO is crucial for ensuring high-quality outcomes and reducing unnecessary costs throughout the entire pharmaceutical manufacturing process.

Partnering with CDMOs at the beginning of the manufacturing process allows pharmaceutical companies to immediately identify and resolve any issue that could lead to significant problems later.

Market Report 2025: Pharmaceutical Manufacturing

Case studies and industry examples

In addition to the direct savings associated with CDMOs, these organizations have also been shown to meet growing demands for pharmaceutical products during emergencies.

For example, during the coronavirus disease 2019 (COVID-19) pandemic, Moderna relied on both internal expertise and third-party CDMOs to establish production lines of their novel messenger ribonucleic acid (mRNA) technology in different regions throughout the world to ensure widespread vaccination against this highly contagious disease.

For example, a 2021 expansion in the partnership between Moderna and Rovi in Granada, Spain, facilitated the production of an additional 600 million vaccine doses every year4.

Likewise, ThermoFisher served as a critical partner for supplying raw materials and assisting in vaccine manufacturing of the Moderna COVID-19 vaccine to increase production capabilities.

Future of CDMO Partnerships

As science continues to advance, CDMOs are also expanding their capabilities by investing in new technologies while simultaneously increasing their capacity to produce even more products.

For example, a recent partnership between Samsung Biologics CDMO and Pfizer will involve the investment of almost $900 million USD to accelerate the production of biosimilars for oncology, inflammation, and immunotherapy indications.

Likewise, both ABL Bio and the Lonza Group CDMO have recently announced their plans to develop and manufacture a novel bispecific antibody that will be used to treat both immune-oncology and neurodegenerative diseases5.

Technological improvements in molecule stability and bioavailability enhancements enable CDMOs and their developer partners to unlock new potential medications, making treatments easier to absorb and more accessible to a broader patient base.6”

References

“What is a CDMO?” [Online]. Available from: https://www.patheon.com/us/en/insights-resources/blog/what-is-a-cdmo.html. “CROs vs CMOs, and CDMOs: What’s the difference between the three?” [Online]. Available from: https://www.patheon.com/us/en/insights-resources/blog/cdmo-vs-cmo-vs-cro.html. “Transforming CDMO partnerships through a holistic understanding of quality” [Online]. Available from: https://www.patheon.com/us/en/insights-resources/whitepapers/transforming-cdmo-partnerships-through-quality.html. “Moderna further expands CDMO partnerships to support COVID vaccine” [Online]. Available from: https://www.bioprocessintl.com/facilities-capacity/moderna-further-expands-cdmo-partnerships-to-support-covid-vaccine. “Top 10 Contract Development and Manufacturing Organizations” [Online]. Available from: https://www.genengnews.com/topics/bioprocessing/top-10-contract-development-and-manufacturing-organizations/. “Building Resilience: CDMO Strategies for Drug Supply Chain Stability” [Online]. Available from: https://medcitynews.com/2025/02/building-resilience-cdmo-strategies-for-drug-supply-chain-stability/.

Further Reading",news-medical
