Input URL,Title,Link,Published,Description,Source
https://cityam.com,US tariffs: UK ‘reserves right to respond’ after carmakers meeting,https://www.cityam.com/us-tariffs-uk-reserves-right-to-respond-after-carmakers-meeting/,"Fri, 28 Mar 2025 17:04:51 GMT","US tariffs: UK ‘reserves right to respond’ after carmakers meeting

The UK reserves the right to respond to American tariffs, Sir Keir Starmer has said.

The UK reserves the right to respond to American tariffs, Sir Keir Starmer has said, after US President Donald Trump’s decision to slap a 25 per cent import tax on cars.

The Prime Minister said his government was involved in ongoing discussions with the White House aimed at “mitigating the impact” of any levies but that ultimately “our national interest has to come first”.

The US is the second largest export market after the European Union (EU) for cars built in the UK.

Asked whether the UK reserves the right to respond to tariffs during a visit to Yorkshire, he said: “Yes, of course. Obviously, any tariffs are concerning and we’re working hard with the industries and sectors likely to be impacted.

“None of them want to see a trade war, which is why we’re engaged in discussions with the United States about mitigating the impact of tariffs.

“Now, that’s what we’re working hard on, but in answer to your question, yes – in the end, our national interest has to come first, which means all options are on the table.”

Carmakers meeting

Some 16.9 per cent of UK car exports were to the US last year, representing a total of more than 101,000 units worth £7.6bn.

Industry minister Sarah Jones held a virtual meeting with automotive industry leaders to discuss tariffs on Friday.

A government spokesperson said the minister listened to the attendees’ views on trade with the US, and they expressed their support for the government’s approach.

They added that the US is an “indispensable ally and one of our closest trading partners, with £1.2 trillion invested in each other’s economies”.

The import tax on cars is on top of a series of reciprocal tariffs set to come into effect on April 2, which could include a general 20 per cent levy on UK products in response to the VAT rate.

Sir Keir’s reluctance to hit back with the threat of reciprocal tariffs is driven by fears of the economic harm a trade war would cause.

‘Destructive trade war’

The budget watchdog warned a full-blown tariff war with the US could wipe one per cent off gross domestic product next year and derail Chancellor Rachel Reeves’ hopes of balancing the books, forcing her to implement more cuts or tax hikes.

That “worst-case scenario” would come about if Trump imposed 20 per cent tariffs on British goods and the UK reciprocated in kind.

It comes as shares in UK luxury carmaker Aston Martin dropped by six per cent when stock markets opened on Thursday morning. Jaguar Land Rover could be one of the UK vehicle manufacturers most affected by tariffs, with some 22 per cent of sales last year to the US.

Mike Hawes, chief executive of industry body the Society of Motor Manufacturers and Traders (SMMT), said the announcement of tariffs was “not surprising but, nevertheless, disappointing” and he urged both governments to strike a deal that avoids further damage.

Lib Dem Treasury spokeswoman Daisy Cooper called for the UK to be ready to hit back, arguing: “Our car industry is being left at the mercy of Trump and his destructive trade war.”",cityam
https://cityam.com,NBA Europe: Will format and salary cap comply with EU law?,https://www.cityam.com/will-nba-europes-format-and-salary-cap-comply-with-eu-law/,"Fri, 28 Mar 2025 14:00:46 GMT","Will NBA Europe’s format and salary cap comply with EU law?

NBA Europe is pushing ahead and will have a semi-open format and salary cap

It wasn’t quite the papal white smoke, but the NBA made the clearest statement yet this week that it intends to launch a new league in Europe.

In a joint appearance with the head of Fiba, basketball’s international governing body, NBA commissioner Adam Silver spoke of the “enthusiastic support” within both organisations to push ahead with the plans.

“The response we’ve gotten from the marketplace is very positive,” Silver said. “Whether it’s from media partners, fan research that we’ve done, discussions directly with Fiba, advertising agencies and other clubs in Europe, several of them who have also been enthusiastic about the potential opportunity to better serve basketball fans in Europe.”

Should it progress as planned, NBA Europe will feature 16 teams in a semi-open format, with 12 permanent members and four places available for qualifiers.

The teams are likely to be a mixture of existing European giants, such as Barcelona and Real Madrid, and new ones, some linked to football clubs such as Paris Saint-Germain and, reportedly, Manchester City.

New franchises will mean new investors, many of whom may have links to the NBA or the US more widely. So it was perhaps no surprise that Silver said that NBA Europe would operate a salary cap, in keeping with major sports in North America. These details, however, are by no means certain to be deemed compatible with EU law.

The aborted European Super League project initially planned a similar semi-open format but was forced to change that and comply with the European sports model of open competition.

Attempts to impose a hard salary cap in football have also failed while even plans for a soft cap face the threat of legal action from player unions.

“NBA Europe is an interesting concept. US owners and investors will look to make a profit so they will definitely want to ensure cost control measures are in place,” Darren Bailey, a sports regulation expert and consultant at Charles Russell Speechlys, tells City AM.

“Frankly, competition law is being deployed to attack all forms of regulatory frameworks at present so there may be a vulnerability, but a key issue is who are the likely complainants.

“Much depends on the structure and access of teams. If it looks like it will be a success and the process for admission is not meticulously fair, then excluded teams may look to challenge.

“In addition, players and agents may be encouraged to have a crack if they believe the market is being distorted and salaries/fees being unreasonably suppressed.”

Why European courts could give NBA leeway

NBA Europe could be given some extra latitude legally if viewed as a startup backed by big money, as some new sports leagues have when agreeing long broadcast deals, says Bailey, although the tendency for European judges to promote free markets in sport since the landmark Bosman ruling calls that into question.

Competition law has been successfully used to scupper Fifa’s planned cap on the fees taken by football agents and opened the door for new competitions, such as a European Super League, to be set up provided that they abide by certain key principles. But removing all protections for sport could end up damaging it, says Bailey.

“What will be fascinating is how they structure the inevitable collective bargaining agreement and player representation. My sense is they will adopt the US model and look to defend it if attacked based on various sporting and economic grounds such as uncertainty of outcome, wider talent distribution, fair allocation of revenue to players (circa 70 per cent) etc.

“Who knows, the Americanisation of regulatory frameworks may repel some of the arguments we have seen play out recently in the European courts.

“In my view if the courts don’t back off attacking sports regulations designed to protect key sporting imperatives, then national governments and the EU will need to grant exemptions from elements of competition law otherwise investors will disappear.”",cityam
https://cityam.com,What we can all learn from dogging,https://www.cityam.com/what-we-can-all-learn-from-dogging/,"Fri, 28 Mar 2025 11:53:58 GMT","What we can all learn from dogging

The best moment in a playwright’s life is when you see something and a play appears fully-formed in your head. That happened for me one warm night eight years ago, when I was walking home late after returning from seeing a play. I was living in Barnes, one of London’s poshest suburbs, and the word jumped out at me: “DOGGING”.

I wasn’t sure if the graffiti spray painted on the wall leading to the tennis court car park was random, intended as a protest or a provocation, or as genuinely useful advice. I wouldn’t dream of suggesting that the well-heeled and well-mannered denizens of Barnes engage in a bit of al fresco how’s your father but the sight of that word caused a whole play to manifest in my mind: upper middle class doggers. Frenetic sex against a car boot before breaking out the lapsang souchong for a quick tea break.

Everyone loves dogging, don’t they? When I tell people I’ve written a play about dogging, nearly everyone, regardless of whether they’re a friend or someone I’ve just met, responds the same way: giggling, then sharing their own dogging-adjacent anecdote. Funnily no one ever admits to going dogging, but everyone knows someone who does, or has a story of accidentally stumbling across a nest of doggers while taking a shortcut through a park a little too late in the evening.

Dogging is funny, and it’s funny because it’s non-threatening. I wanted to explore why that is. At a time when LGBTQ people’s rights are increasingly under attack (and when trans people are attacked and smeared by the libel that by simply existing in public are somehow acting out a sexual fetish), it’s weird that people who actually do have a fetish for exhibitionist sex are regarded as giggle-worthy. But dogging enjoys a benign reputation because it’s heterosexual-coded, and because it is regarded as so middle class and suburban. I was intrigued by the idea of subverting this by placing queer characters into an intensely heteronormative environment.

So I wrote a sweet and short play, a single scene: two young women meet while dogging and immediately fall in love, the piece ending with them agreeing to go on a first date to the cinema (how old fashioned!). The piece was performed at various short play festivals and received such riotous applause, I realised the potential for more. Then the government announced their proposed “porn ban”, an attempt to ban portrayals of certain sexual acts from porn. This ban seemed to target acts that show female pleasure or female domination (while counterpart sexual acts showing male domination were not named in the ban), and was perceived as an attack on female sexual liberation. This lead to the eye watering sight of porn stars, sex workers and feminist activists descending on the Houses of Parliament for a mass face sitting protest, at which rather incongruously Nick Clegg showed up to make a speech (in defence of facesitting!); he used the expression: “the government need to keep their noses out of other people’s private… lives.”

The full-length version of Puppy practically wrote itself, my pair of lovers deciding to start a feminist porn company together, which is then shut down by the porn ban, forcing them to become political activists and then struggle to balance their careers and activism with their romantic relationship. We debuted the play at Vault Festival, where it sold out. A West End transfer was mooted for summer 2020 but didn’t come to pass for some reason, and the play languished until the fine people at LGBTQ+ stage company Relish Theatre picked it up, and we’re now preparing for a four-week run at the King’s Head Theatre in London.

While my extensive research for this play was more along the lines of reading Foucault and Zizek (and listening to endless porn star and sex worker podcasts) than actually going dogging, dogging has still taught me a lot: that people should celebrate their bodies, and the people with whom they (consensually) share their bodies, without shame or fear. That sex and the emotions around sex are complicated and messy and that’s okay. And that we should never be afraid to talk about all of this, because it’s only by talking that we can understand each other. That is the function of theatre: to be a cultural empathy machine, a place where we can sit together in darkness to see people who are different from us or the same as us, and a place to encourage discussion. Puppy has certainly generated a lot of discussion in the rehearsal room, and I hope that’s what audiences take from seeing the play.",cityam
https://cityam.com,"Employers nervous as tax rise ‘hangs over like a fog’, survey says",https://www.cityam.com/employers-still-nervous-as-20bn-tax-rise-hangs-over-like-a-fog-survey-says/,"Fri, 28 Mar 2025 06:00:00 GMT","Employers still nervous as £20bn tax rise ‘hangs over like a fog’, survey says

Employers remain pessimistic about hiring new staff as businesses ‘hoped for more’ from the Spring Statement, according to the REC.

Employers remain pessimistic about hiring new staff as businesses “hoped for more” from the Spring Statement, according to the Recruitment and Employment Confederation (REC).

Chancellor Rachel Reeves‘ Spring Statement saw multi-billion pound spending commitments on defence and construction as she vowed to “kickstart economic growth”.

But a new survey of more than 700 UK employers suggests that businesses remain downbeat about taking on new staff.

The survey was conducted before Reeves delivered her Spring Statement but a note from REC said: “Businesses hoped for more from this week’s Spring Statement to help them drive growth.”

The research showed a “very gentle trend of improvements” in business confidence but both measures taken – confidence in hiring and confidence in the UK economy – remained in the red.

Medium-sized and larger employers were more optimistic than small businesses as confidence among firms with up to 50 employees barely changed, the survey said.

REC’s last survey in January suggested that the rise in employers’ national insurance contributions had taken its toll on hiring intentions

Neil Carberry, REC’s chief executive, said that remained the case in their latest survey.

“We have seen business sentiment begin to improve this Spring, though the impact of the national insurance hike hangs over this like a fog,” he said.

The changes to employers’ national insurance contributions, which will come into effect from next week, will see firms pay an increase rate of 15 per cent of tax on earnings above a threshold of £5,000.

He urged Reeves to take action and introduce a raft of business-friendly policies to help the job market.

“Too often, the government talks a good game but day-to-day action paints business as the problem rather than the solution,” he said.

Carberry urged the Labour government to revise its flagship Employment flights Bill and make a “commitment to genuine partnership” that goes beyond setting up meetings.

“British business wants this government to succeed – but they need to support us to help them do it.”

Employers in London are negative about hiring in the short and medium term, representing low expectations among City firms for substantial economic growth this year.

“[Overall] optimism is tempered only a little by London, often a bellwether for the economy,” Carberry said.",cityam
https://cityam.com,Legal showdown over motor finance set to decide lenders' fate,https://www.cityam.com/billions-on-the-line-legal-showdown-over-motor-finance-set-to-decide-lenders-fate/,"Fri, 28 Mar 2025 13:44:24 GMT","Billions on the line: Legal showdown over motor finance set to decide lenders’ fate

(The Supreme Court. (Photo by Dan Kitwood/Getty Images))

Lenders swim in shark-filled waters, with their fate in the hands of five Lord Justices as parties prepare for a showdown over motor finance on Tuesday.

Like any typical day, the Court of Appeal hands down its judgments, but on one particular Friday last October, one ruling turned a sector on its head.

Lady Justice Andrews, Lord Justice Birss and Lord Justice Edis heard three cases together, all appealing from regional English courts, but with one thing in common: motor finance commission.

Merchant banking group Close Brothers and South African Firstrand Bank are the targets in this case.

In each case, the car dealers made a profit on the sale of the car but also received a commission from the lender for introducing the business to them. The dealers were incentivised to fix the interest rate as high as possible within the permissible range to maximise the commission size.

These types of agreements have been banned by the Financial Conduct Authority (FCA) since January 2021.

In one of the cases, the commission was kept secret from the claimants, while in the other two, the claimants were not told that the commission was to be paid.

The legal proceedings were issued against the banks, seeking, among other things, the return of the commission paid to the credit brokers.

After appearing at the County Courts, the cases went to the second highest court in England, which resoundingly sided with consumers.

‘David vs Goliath‘

The ruling caused a shockwave in an industry already preparing for a review by the FCA.

The City regulator was amidst a review of the historical motor finance commission arrangements and sales across several firms.

Read more Motor finance complaints hit record levels

Lloyds, which owns the country’s biggest auto lender, Black Horse, made a £450m provision in February 2024, while a month later, Close Brothers, considered the most exposed bank in relative terms, outlined plans to bolster its finances by £400m in response to the probe.

But the court put a spanner in the works.

Over the last six months, Close Brothers’ share price has plunged nearly 24 per cent. While Lloyds Bank set aside an additional £700m in provisions, bring the total to £1.2bn. Meanwhile, Santander set aside £295m and Close Brothers reserves £165m.

There are now billions of pounds on the line after Moody’s quoted a potential compensation of £30bn.

The Headliner

Not surprisingly, the case is going to the Supreme Court.

The hearing is so vital that even HM Treasury tried to intervene, with the Chancellor concerned about the possible consequences of a ruling, but their bid to participate was rejected last month.

Despite the parties wanting a more extended hearing, the case will go in front of Lord Reed, Lord Hodge, Lord Lloyd-Jones, Lord Briggs and Lord Hamblen from next Tuesday until Thursday.

In addition to the main parties, the FCA and the National Franchised Dealers Association were granted permission to intervene in the hearing.

The Lord Justices will have five issues to consider, including:

Do car dealers owe consumers a ‘disinterested’ and/or fiduciary duty to provide information, advice or recommendation?

If so, were the payments of commission by the lenders to the car dealers secret, such that the lenders became primary wrongdoers?

If there was sufficient disclosure of the commission to negate secrecy, was there insufficient disclosure to procure the consumers’ fully informed consent to the payment such that the lenders are liable?

Can the lenders be liable in the tort of bribery?

Can insufficient disclosure also suffice to make the relationship between lender and consumer ‘unfair’ under the Consumer Credit Act?

Once a ruling is published, the FCA said it would publish its decision within six weeks of whether it proposes a redress scheme.

There is also a separate matter on the same topic in the courts after Barclays lost a legal challenge against the Financial Ombudsman Service over a ruling that said it unfairly paid car commission.",cityam
https://cityam.com,UK growth confirmed at 0.1 per cent for 2024's last quarter,https://www.cityam.com/uk-growth-nearly-stagnant-in-last-quarter-of-2024/,"Fri, 28 Mar 2025 08:19:10 GMT","UK growth nearly stagnant in last quarter of 2024

UK growth was confirmed to have grown at a sluggish pace of 0.1 per cent in the final quarter of 2024.

The UK economy barely grew in the final quarter of 2024 as estimates remained unchanged, figures from the Office for National Statistics (ONS) said.

Chancellor Rachel Reeves has vowed to deliver growth “further and faster”.

But Reeves has faced a rocky start as GDP only grew by 0.1 per cent between October and December.

Previous estimates said growth would come in at 0.1 per cent for last year’s final quarter.

The small expansion at the end of 2024 followed zero growth in the third quarter.

In annual terms, the final figure was slightly better than previously expected as UK growth hit 1.1 per cent.

Previous estimates said the UK economy grew by 0.9 per cent in 2024.

Read more Reeves eyeing spending cuts as fiscal walls cave in

The revisions made to the earlier parts of the year suggested the UK economy was more resilient than previously thought.

“Today’s updated GDP estimates indicate that the economy grew slightly more strongly in the first half of last year than previously estimated but continues to show little growth since last summer,” Grant Fitzner, the ONS’ chief economist, said.

Business investment grew by 1.8 per cent year-on-year, far higher than predictions which said there would be a decline of 0.7 per cent.

But figures also showed a fall of 1.9 per cent in the final quarter.

The UK’s trade account’s deficit also widened by £0.5bn in the last quarter as imports surged rose more than exports.

“Today’s deluge of data confirmed that the economy was weak even before the full effects of higher business taxes are felt and that a high household saving rate continues to restrain GDP growth,” Ruth Gregory, deputy chief UK economist at Capital Economics, said.",cityam
https://cityam.com,HMRC v Snacks: Legal tax battles over the UK’s favourites,https://www.cityam.com/hmrc-v-snacks-legal-tax-battles-over-the-uks-favourites/,"Fri, 28 Mar 2025 12:16:17 GMT","HMRC v Snacks: Legal tax battles over the UK’s favourites

VAT: There is one tax that has turned a biscuit into a legal battle and a marshmallow into a courtroom mystery, while, at the same time, has caused a lot of confusion for businesses.

There is one tax that has turned a biscuit into a legal battle and a marshmallow into a courtroom mystery, while, at the same time, has caused a lot of confusion for businesses.

Value Added Tax (VAT) – a levy that has only been around 53 years – still finds itself the centre of attention at the HQ of HMRC.

Introduced in the Finance Act 1972, VAT is considered one of the UK’s most important taxes, accounting for 20 per cent of central government revenue in 2022.

Current VAT rates are 20 per cent standard and zero-rated for others.

What makes it confusing, especially for food businesses, is the exempt list, which is zero-rated.

Food and drink for human consumption is usually zero-rated but some items are always standard-rated, which includes confectionery, hot food and savoury snacks.

Occasionally, some businesses try their luck with the rule. For other businesses, the rules can be confusing to follow.

Either way, HMRC rolls up its sleeves to get litigious. Like other government departments, HMRC has an in-house legal team. While its legal budget isn’t publicly disclosed, in 2023-24, the tax agency spent £4.3bn to collect £829bn in tax.

But from these legal battles, we get something we never thought was possible: tax can be funny.

The most famous case was in 1991 when McVitie’s had everyone wondering if its famous orange-flavoured chocolate sponge was ‘a biscuit or a cake’?

Well, a Tax Tribunal legally classified Jaffa Cake as a cake due to its sponge-like texture and how it changes when stale. As a result, it is subject to zero-rate VAT.

The mouth-sized ‘cakes’ went on to start a trend of fun – for the public, not the businesses – tax cases.

Dissecting a potato

Once you pop, the fun doesn’t stop. Unfortunately for Pringles owners, the fun stopped in 2009 when the stacking snack was deemed liable for VAT.

Read more Eat marshmallows with your hands? HMRC wants you to pay more tax

The flavoured snack was deemed a “potato crisp” as 42 per cent of the product was made up of potato.

Most big-brand snack-based foods have found themselves in the same situation, and with how over the place the rules are set, you don’t blame the businesses for being confused.

Are you a big fan of Monster Munch or Wotsits? They are taxed at standard-rated, while Skips and Twiglets are zero-rated.

Poppadoms are zero-rated, but Walkers’ Sensations Poppadoms are liable for VAT after a Tribunal ruled last year they are similar to potato crisps.

Just last week, a case regarding the VAT liability of giant marshmallows took “a new bizarre twist.”

The Court of Appeal sent the case back to the First Tier Tribunal following questions on how people eat large marshmallows.

As Robin Prince, VAT partner at accountancy firm MHA, explained: “A significant amount of tax is now going to rest on whether the Tribunal think that a giant marshmallow is normally eaten with the fingers or off a skewer.”

Other notable mentions include Innocent Drinks losing a legal battle in 2010, making liable for the tax. Teas including herbal teas are zero-rated, but not Iced Teas, those need to pay VAT.

Caviar is also VAT-free.

Prince told City AM that the long list of VAT cases “highlighted the complete absurdity of the VAT laws in relation to food”.

“The general public might question whether HMRC continuing to fight these legal actions is really the best use of taxpayers’ money when we all know that making any sense of the VAT dividing lines on food has defeated the best legal minds for decades,” he explained.

Prince went on to call on Chancellor Rachel Reeves to completely overhaul how the zero-rating for food works “to provide certainty and a level playing field for all food producers.”",cityam
https://cityam.com,Steel billionaire Lakshmi Mittal to ditch UK after non-dom crackdown,https://www.cityam.com/steel-billionaire-lakshmi-mittal-to-ditch-uk-after-non-dom-crackdown/,"Fri, 28 Mar 2025 07:43:48 GMT","Steel billionaire Lakshmi Mittal to ditch UK after non-dom crackdown

ArcelorMittal’s business lines span from steel production to wire products, logistics and shipping. (Photo by Christopher Furlong/Getty Images)

Steel billionaire Lakshmi Mittal is set to leave the UK, as a direct result of a government crackdown on non-domiciled residents, in favour of more tax-friendly destinations such as the United Arab Emirates, Italy and Switzerland, the FT has reported.

The businessman, a former Blair-era Labour donor and Sunday Times Rich List number seven, is set to leave the UK after nearly 30 years.

The Indian entrepreneur owns a number of properties in the UK, including a mansion in Kensington Palace Gardens which he bought from Bernie Eccleston in 2004 for £67m – then the world’s most expensive home.

Mittal was chief executive of ArcelorMittal until four years ago, when he stepped down in favour of his son Aditya Mittal.

He remains executive chair of the group – a 2006 merger of Mittal Steel and European steel giant Arcelor – and his family retain a 40 per cent stake in the firm.

ArcelorMittal’s business lines span from steel production to wire products, logistics and shipping.

Ahead of the October Budget, the firm threatened to leave the UK, warning the new government’s industrial strategy must do more to protect the steel industry’s supply chain.

Non-doms were previously able to avoid paying UK taxes on income from overseas.

Rule changes were first introduced by former Chancellor Jeremy Hunt back at the March 2024 Budget – in part, as a political manoeuvre to outflank an existing Labour policy commitment – and will take effect on 6 April.

Rachel Reeves has since recommitted to the plans, and has pulled the plug on offshore trusts as a workaround for inheritance tax.

Rachel Reeves has since made some concessions back in January in an attempt to stem the exodus of the super rich from the UK, introducing a new residence-based scheme to offer some tax incentives for international investors.

The Temporary Repatriation Facility – the new scheme – is by its nature limited by a transition period, and has a significantly shorter sunset period than the outgoing non-dom tax arrangement.",cityam
https://cityam.com,Rachel Reeves has already lost half of her £9.9bn headroom,https://www.cityam.com/rachel-reeves-has-already-lost-half-of-her-9-9bn-headroom/,"Fri, 28 Mar 2025 09:17:45 GMT","Rachel Reeves has already lost half of her £9.9bn headroom

Reeves has lost half of her £9.9bn headroom according to one calculation.

Chancellor Rachel Reeves has had £5bn wiped off her headroom less than 48 hours after she delivered her Spring Statement, a calculation by Bloomberg Economics has suggested.

Chancellor Reeves has received several warnings from leading economists at the Office for Budget Responsibility (OBR) and the Institute for Fiscal Studies (IFS) that her headroom risks getting obliterated by the autumn.

But Bloomberg Economics’ calculations suggest Reeves has already lost half of her fiscal headroom.

Since the end of the Spring Statement, government borrowing costs have risen with the benchmark 10-year yield rising by as much as eight basis points to 4.81 per cent on Thursday —its highest level since mid-January when a global bond selloff severely impacted Chancellor Rachel Reeves’s fiscal flexibility.

Helen Thomas, founder of Blonde Money, noted that under the OBR’s projections, the headroom would be wiped out if gilt yields were to rise by just 0.6 percentage points. Since the forecast was compiled, yields have risen 0.4 percentage points.

Autumn statement warning

Analysts at the financial services provider said that moves in financial markets on Thursday shed more than half of her £9.9bn of headroom.

“That half the headroom has already been wiped out shows that there’s an awful lot more work to do to shore up the public finances,” said Dan Hanson, chief UK economist at Bloomberg Economics.

“The autumn is shaping up to be another big policy event for the chancellor.”

Bloomberg Economics based its calculation on prices set by financial markets at the end of Thursday’s trading.

The calculation confirms leading economists’ fears as uncertainty surrounding President Donald Trump’s “retaliatory” tariffs and energy prices risks creating a bigger fiscal hole.

Read more Reeves doubles down on fiscal rules amidst waning headroom

Reeves’ headroom was the third-smallest on record, with former Chancellor Jeremy Hunt leaving himself some £30bn of headroom after his Spring and Autumn Budgets.

Many City firms are already preparing for the worst. Economists at Jefferies and Investec have already said further tax rises are coming in Autumn.

Tax band freeze

Speaking at a post-Spring Statement event on Thursday morning, IFS director Paul Johnson warned that the Chancellor may have to extend freezes to income tax and national insurance thresholds beyond 2030.

“There is a good chance that economic and fiscal forecasts will deteriorate significantly between now and an Autumn Budget,” he said.

“If so, she will need to come back for more; which will likely mean raising taxes even further.”

He also said investors should be aware of a possible wealth tax and that speculation could damage Reeves in coming months.

“With no sense of a tax strategy, we have no idea which way the Chancellor might turn,” he said.

Reeves said she was in “intensive discussions” with the Trump administration in a bid to avert the hit of his tariffs.

Her comments came after Trump said he was putting a 25 per cent tariff on all auto imports, jeopardising around £6.4bn worth of trade between the UK and US.",cityam
https://cityam.com,The cheapest Stocks and Shares ISA providers,https://www.cityam.com/the-cheapest-stocks-and-shares-isa-providers/,"Fri, 28 Mar 2025 06:00:00 GMT","The cheapest Stocks and Shares ISA providers

AJ Bell was selected as the best all rounder for Stocks and Shares ISAs, while Trading 212 was the cheapest.

AJ Bell, Interactive Investor and Trading 212 have been selected as the best Stocks and Shares ISA providers on the market, due to their wide range of investment options and low platform fees.

According to Kepler Trust Intelligence, AJ Bell is the best ‘all-rounder’ ISA provider, even though competitor Trading 212 took the label of the cheapest provider.

Interactive Investor came second in the ranking of the cheapest providers*.

Aberdeen’s interactive investor also topped a ranking of the Self-Invested Personal Pension (SIPP)* providers in the UK. The platform is currently offering up to £3,000 in cashback to investors who switch platforms before the end of the tax year on 5 April*.

Cheapest Stocks and Shares ISA providers

Trading 212 charges no trading or platform fees and pays one of the highest interest rates on uninvested cash.

The ISA can be managed online or through the Trading 212 app. Investors can choose between exchange-traded funds (ETFs) or shares.

The only fee paid on a Trading 212 Invest & ISA comes when making trades in an overseas currency.

However, Kepler described it as a “no-frills option” due to its limited research and online chat-only support.

“Overall, Trading 212 is likely to appeal to frequent traders or investors looking for a basic, low-cost provider,” Jo Groves, investment specialist at Kepler Partners, said.

Meanwhile, AJ Bell charges a 0.25 per cent platform fee on the first £250,000, 0.1 per cent on the next £250,000, and no fee over £500,000.

There is a separate platform fee of 0.25 per cent for share-based investments (including investment trusts and ETFs) which is capped at £3.50 per month.

For trading fees, it charges £5 for UK and international shares but only £1.50 for trading in funds. Reduced traders receive a reduced fee of £3.50 on shares if they trade 10 or more times in the previous month.

If you want the most investment options for your ISA, it’s best to look at the largest stockbrokers – AJ Bell, Hargreaves Lansdown and Interactive Investor.

AJ Bell offers more than 15,000 shares, 4,000 funds, 3,500 ETFs, and more than 400 investment trusts and covers 24 markets worldwide.

Hargreaves Lansdown has more than 8,500 shares, 4,000 funds, 1,400 ETFs and 400 investment trusts.

While Hargreaves Lansdown’s fees make it one of the more expensive platforms, it also offers up to £3,000 cashback on eligible products before the end of the tax year*.

Meanwhile, Interactive Investor has over 3,000 funds, 1,000 ETFs and 600 investment trusts.

Those with a portfolio less than £50,000 pay £4.99 per month, with a further £5 per month to add a SIPP, while those with more pay £11.99 a month with an additional £10 per month to add a SIPP.

Fees charged by Stocks and Shares ISA providers

Portfolio value £20,000 £100,000 £250,000 Trading 212 £0 £0 £0 Interactive Investor* £108 £192 £192 AJ Bell £89 £206 £394 Charles Stanley Direct £60 £300 £600 Fidelity £135 £310 £385 Bestinvest £110 £430 £1,030 Hargreaves Lansdown* £162 £342 £679 Source: Kepler Trust Intelligence",cityam
