Input URL,Title,Link,Published,Description,Source
https://scientificamerican.com,"Science Jigsaw: Sunday, March 30, 2025",https://scientificamerican.com/game/science-jigsaw-2025-03-30/,"Sun, 30 Mar 2025 00:00:00 GMT",We’d love to hear from you! E-mail us at games@sciam.com to share your experience.,scientificamerican
https://scientificamerican.com,"Scientific American Volume 332, Issue 4",https://scientificamerican.com/issue/sa/2025/04-01/,"Tue, 01 Apr 2025 00:00:00 GMT","For Two Decades Now, The Iconic Twin Voyager Spacecraft Have Been Quietly Overurning Everything We Thought We Knew About The Boundary Betty Our Solar System and Interstellar Space",scientificamerican
https://livescience.com,"Multiple species of ticks in the US can transmit red meat allergy, CDC reports reveal",https://www.livescience.com/animals/arachnids/multiple-species-of-ticks-in-the-us-can-transmit-red-meat-allergy-cdc-reports-reveal,"Sun, 30 Mar 2025 19:57:00 GMT","Until recently, scientists thought a rare and potentially deadly meat allergy was transmitted by just one species of tick found in the U.S. — the lone star tick (Amblyomma americanum). However, new reports of the allergy, called alpha-gal syndrome, show that the much more widespread black-legged ticks (Ixodes) can also transmit the disease.

Whereas lone star ticks are found mainly in the southern and eastern U.S., black-legged ticks (Ixodes scapularis), also called deer ticks, are present in the eastern half of the U.S. and the Midwest and the western black-legged tick (Ixodes pacificus) inhabits the West Coast, according to Mayo Clinic .

The new case reports suggest that people in a wide swath of the U.S. are at risk of tick-borne alpha-gal syndrome. However, ""evidence continues to support that in the U.S., most alpha-gal syndrome patients develop the allergy after experiencing a bite from a lone star tick,"" Dr. Johanna Salzer , a veterinary medical officer and epidemiologist with the Centers for Disease Control and Prevention's (CDC) Division of Vector-Borne Diseases and a co-author of both case reports, told Live Science in an email.

Given that a variety of tick species have been linked to alpha-gal syndrome outside the U.S., scientists had long suspected that black-legged ticks in the U.S. also transmit the allergy.

""For us, it was never just the lone star tick,"" Jennifer Platt , co-founder of the nonprofit Tick-Borne Conditions United and an adjunct faculty member at the University of North Carolina at Chapel Hill, wrote in a blog post . ""With thousands of Lyme [a tick-borne disease] patients telling us they can't tolerate red meat, we've long suspected black-legged ticks and other tick species in the US,"" she noted.

""Although our publications are some of the first reports linking blacklegged ticks in the US to alpha-gal syndrome, bites from these species in the U.S. leading to alpha-gal syndrome almost certainly have occurred prior to these reports,"" Salzer said.

In alpha-gal syndrome, the immune system overreacts to a sugar known as galactose-α-1,3-galactose, or ""alpha-gal"" for short. Those affected can develop severe allergic reactions not only to red meat but also to some medications, personal care products, and medical treatments containing ingredients from mammalian tissues, where this sugar is found.

Sign up for the Live Science daily newsletter now Get the world’s most fascinating discoveries delivered straight to your inbox. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors

Related: Tick season: What to know about bites, removing ticks and tick-borne diseases

The first case , reported in the April 4 issue of the CDC journal Emerging Infectious Diseases, described a Maine woman who developed alpha-gal syndrome after a confirmed black-legged tick (I. scapularis) bite.

The 45-year-old woman first experienced inflammation and itchiness at the bite site, followed by abdominal pain and malaise nine days later, after eating rabbit. Over the next two weeks, she continued having digestive problems after consuming red meat. A severe episode of diarrhea and vomiting hours after she ate beef prompted her to visit a health care provider 20 days after the tick bite. Blood tests revealed extremely high levels of alpha-gal-specific immunoglobulin E (IgE), confirming alpha-gal syndrome. Her allergy resolved after 10 months.

The second case of alpha-gal syndrome, reported in the same journal issue, involved a 61-year-old wildlife biologist in Washington. After a confirmed bite from the western black-legged tick (I. pacificus), she experienced a skin rash and lip swelling, followed by a severe allergic reaction 29 days later, after she ate red meat, and required emergency epinephrine (EpiPen) treatment. After being diagnosed with alpha-gal syndrome, she avoided meat and had no further reactions. Some years later, she got two more I. pacificus tick bites, which triggered a rise in alpha-gal IgE antibodies.

To date, why tick bites can trigger alpha-gal syndrome is poorly understood. ""We are only beginning to delve into the science of this and other tick-borne diseases — there's so much we don't know,"" Platt said.

Research has shown that some tick species produce alpha-gal antigens — proteins that trigger an immune response — and secrete these antigens in their saliva during feeding. This may trigger the alpha-gal allergy in humans. ""The ticks do NOT pick up [alpha-gal antigens] from animals and then transmit them to humans,"" Platt emphasized.

""More studies are needed to discover details about how a tick bite triggers alpha-gal syndrome in some people, and why bites from lone star ticks appear to cause the majority of the human cases in the United States versus blacklegged, western blacklegged, and other ticks,"" Salzer said.",livescience
https://livescience.com,James Webb telescope could find signs of life on alien 'hycean' ocean worlds,https://www.livescience.com/space/exoplanets/james-webb-telescope-could-find-signs-of-life-on-alien-hycean-ocean-worlds,"Sun, 30 Mar 2025 18:00:00 GMT","Hycean worlds, which are a possible kind of exoplanet with deep oceans surrounded by a thick envelope of hydrogen, could provide the best chance for the James Webb Space Telescope (JWST) to detect biosignatures, according to a new study.

Those potential signs of life are a group of chemicals called methyl halides, which on Earth are produced by some bacteria and ocean algae.

""Unlike an Earth-like planet, where atmospheric noise and telescope limitations make it difficult to detect biosignatures, hycean planets offer a much clearer signal,"" said Eddie Schwieterman, who is an astrobiologist at the University of California, Riverside, in a statement .

For now, the existence of hycean planets remains hypothetical. Their name is a portmanteau of ""hydrogen"" and ""ocean,"" first coined in 2021 by planetary scientist Nikku Madhusudhan of the University of Cambridge.

Related: 'Hycean' exoplanets may not be able to support life after all

Hycean planets are expected to orbit red dwarf stars, and the best candidate for a hycean world is the planet K2-18b. This exoplanet, which is categorized as a ""sub-Neptune"" world, orbits in the habitable zone of a red dwarf star 124 light-years from Earth in the constellation of Leo, the Lion.

The Hubble Space Telescope discovered water vapor in K2-18b's atmosphere in 2019, and JWST has detected the presence of carbon dioxide and methane in the planet's atmosphere, along with a lack of carbon monoxide and ammonia — exactly as predicted by the hycean planet hypothesis. There's also tentative evidence that a compound called dimethyl sulfide, which on Earth is only produced by ocean plankton, also exists in K2-18b's atmosphere, but this evidence continues to prove contentious .

Sign up for the Live Science daily newsletter now Get the world’s most fascinating discoveries delivered straight to your inbox. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors

Now a team of researchers at the University of California, Riverside and ETH Zurich in Switzerland have gone a step further. They propose that another family of compounds called methyl halides, generated by microbial ocean life on Earth, could produce a biosignature — that is, a chemical signature of biological life — in the atmosphere of a hycean world that's more easily detectable than the signature of oxygen is on an Earth-like planet.

""Oxygen is currently difficult or impossible to detect on an Earth-like planet,"" said Michaela Leung of the University of California, Riverside, the first author of a new paper describing the research. ""However, methyl halides on hycean worlds offer a unique opportunity for detection with existing technology.""

Methyl halides are molecules that incorporate carbon atoms and three hydrogen atoms attached to a halogen atom such as bromine, chlorine or fluorine. (Halogens are group of reactive, non-metallic elements.) On Earth, methyl halides are produced by life, but they are far from abundant in our planet's atmosphere.

On hycean worlds, however, things could be different. Leung's team suspect that the conditions on such worlds, should they exist, would allow methyl halides to accumulate in large quantities in the atmosphere. Furthermore, methyl halides would have strong absorption features in infrared light, at the same wavelengths that the JWST is designed to observe.

""One of the great benefits of looking for methyl halides is, you could potentially find them in as few as 13 hours with James Webb. That is similar or lower, by a lot, to how much telescope time you'd need to find gases like oxygen or methane,"" said Leung. ""Less time with the telescope means it's less expensive.""

Related: The search for alien life

There are two caveats to what Leung's team propose. One is that we don't yet know whether hycean worlds actually exist. They were proposed as a possibility to explain certain properties of some warm sub-Neptune-type planets that have average densities that imply a thick hydrogen atmosphere and a deep ocean of liquid water. However, directly observing an ocean beneath such a world's hydrogen envelope is not currently feasible.

The second issue is that we don't know if such oceans could be habitable. A hycean world would be hot, and although the extreme conditions beneath the hydrogen envelope would prevent the ocean from evaporating, it is uncertain whether it would be too hot for life as we know it. However, a positive detection of methyl halides in the atmosphere of a candidate hycean world would be a strong indication that life could exist there in a deep ocean.

If life does exist on such a world, it would have to breathe hydrogen, not oxygen.

""These microbes, if we found them, would be anaerobic,"" said Schwieterman. ""They'd be adapted to a very different type of environment, and we can't really conceive of what that looks like, except to say that these gases are a plausible output from their metabolism.""

Anaerobic life — i.e., lifeforms making do without oxygen — exist on Earth, so it wouldn't be truly alien to life on our planet, even if the environment that it would live in is. Earth-like worlds orbiting red dwarfs could be in short supply, since red dwarfs are fierce little beasts, prone to unleashing bursts of harsh radiation that can strip away the atmosphere of an Earth-like planet. However, hycean worlds protected by their thick hydrogen atmospheres might be less vulnerable to attack from their star.

It could therefore be that hycean worlds are where life resides in red dwarf systems, and since red dwarfs make up about three-quarters of all stars in our Milky Way galaxy, there could be many more habitable hycean worlds in the cosmos than Earth-like worlds.",livescience
https://livescience.com,"Black holes may obey the laws of physics after all, new theory suggests",https://www.livescience.com/space/black-holes/black-holes-may-obey-the-laws-of-physics-after-all-new-theory-suggests,"Sun, 30 Mar 2025 13:00:00 GMT","A team of scientists has developed a recipe for black holes that eliminates one of the most troubling aspects of physics: the central singularity, the point at which all our theories, laws and models shatter.

If you were going to design an object to preserve mystery while being utterly troubling, you couldn't do much better than a black hole .

First, the outer boundary of these cosmic titans is a one-way light-trapping surface called an event horizon , the point at which a black hole's gravity is so powerful that not even light can escape. This means no information can escape from within a black hole, so we can never directly observe or measure what lies at its heart.

Using the mathematics of Einstein's 1915 theory of gravity, called general relativity , scientists can model the interior of a black hole. The problem is that, when they do this, general relativity tells us that all mathematical values go to infinity at the ""singularity"" at the heart of a black hole.

This new research suggests that ""ordinary black holes"" without a central singularity — the physics equivalent of having your cake and eating it — may be more than just the fever dream of hopeful physicists.

""The singularity is the most mysterious and problematic part of a black hole. It's where our concepts of space and time literally no longer make sense,"" study team member Robie Hennigar, a researcher at Durham University in England, told Space.com. ""If black holes do not have singularities, then they are much more ordinary.""

Related: What are black holes? Everything you need to know about the darkest objects in the universe

Sign up for the Live Science daily newsletter now Get the world’s most fascinating discoveries delivered straight to your inbox. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors

Singularity-minded: Physicists want one thing

Einstein's theory of general relativity states that objects with mass curve the very fabric of space-time (the three dimensions of space united with the one dimension of time), and gravity arises from this curvature. The greater the mass, the more extreme the curvature of space-time, and the stronger the influence of gravity. All of this is calculated with the equations that underpin general relativity: Einstein's field equations.

""The way that the space-time curves is determined by the Einstein field equations, which are the cornerstone of general relativity,"" team member Pablo Antonio Cano Molina-Niñirola, of the Institute of Cosmos Sciences of the University of Barcelona (ICCUB) in Spain, told Space.com.

""These equations are extremely successful, as they predict a plethora of observable phenomena in the cosmos, from the motion of planets to the evolution of the universe and the existence of black holes,"" he added. ""But they also predict the existence of singularities, and this is problematic.""



Black holes — regions of space-time with extreme curvature — first arose as a concept from solutions to Einstein's field equations suggested by German physicist and astronomer Karl Schwartzchild as he served on the front line during the First World War in 1915. These solutions go to infinity at the center of that region. Physicists don't like infinities, as they indicate the breakdown or incompleteness of their models, or suggest something entirely unphysical. That means something really troubling and undesirable for physicists.

""In general relativity, the interior of a black hole is like a contracting universe, where the singularity represents the moment when space itself collapses,"" Molina-Niñirola said.

One presentation of Einstein's field equations painted as a mural on the wall of the Rijksmuseum Boerhaave in Leiden, the Netherlands. Photo taken in July 2022. (Image credit: Robert Lea)

Molina-Niñirola added that many physicists believe that, when gravity becomes exceptionally strong and space-time is highly warped, general relativity must be replaced by a more fundamental theory. It has been presumed that this would be a theory of quantum gravity leading to a ""theory of everything"" that would unite the so-far incompatible theories of general relativity and quantum physics .

""The hope is that, in this complete theory, black hole singularities will be removed,"" Molina-Niñirola said. ""Now, our recipe for regular black holes goes precisely in this direction, but instead of using a complete theory of quantum gravity, we use something called an 'effective theory.' This is a classical theory of gravity that is supposed to capture the effects of an assumed theory of quantum gravity.""

This amounts to the team modifying the Einstein field equations so that gravity behaves differently when space-time is highly curved. Ultimately, this leads to the removal of black holes' central singularities.

Related: Albert Einstein: Biography, facts and impact on science

Quantum gravity and other problems

This newly modified theory suggests there is no singularity at the heart of a black hole. So what does exist in this extreme, exotic realm?

""In our model, the space-time collapse stops, and the singularity is replaced by a highly warped static region that lies at the core of the black hole,"" Molina-Niñirola said. ""This region is static because it does not contract. That means an observer could hypothetically stay there, assuming they were able to survive the huge, but finite, gravitational forces in this region.""

Apart from curved space-time, what else dwells at the heart of black holes, if this theory is correct? According to Hennigar, strictly speaking, nothing.

""These black holes are pure vacuum everywhere; there need not be matter present, but one can easily include it if desired,"" the University of Durham researcher continued. ""It might sound weird to have a black hole in the absence of matter, but the same thing can happen even in general relativity.""

An illustration shows a black hole causing a ""plunging"" warp in space-time. (Image credit: Robert Lea (created with Canva))

Even if the team's black hole concept were verified, it likely wouldn't halt the search for a valid model of quantum gravity and a theory of everything.

""In some sense, this is a problem that cannot be avoided. Stars are collapsing all the time in our universe; it is an unavoidable physical process. But this commonplace occurrence is something that pushes us past everything we know,"" Hennigar continued. ""In the final stages of collapse, just before one would reach the singularity, both gravity and quantum effects will be important.

""So we already know that the conclusions one would draw from general relativity alone are insufficient to describe such an extreme place/moment.""

Does losing the singularity mean losing the mystery? Not quite...

If correct, this research may have somewhat demystified black holes, but it opens up many questions that will still have to be answered.

""Our work provides answers to some mysteries, but it opens others,"" Molina-Niñirola said. ""For instance, according to our model — and other proposals in scientific literature — the matter that falls inside a regular black hole would ultimately exit the black hole through a white hole located in a different universe or in a disconnected region of the same universe.

""This looks very exotic, but it is the only possibility if singularities do not exist: all that goes into a black hole must eventually come out of it.""

An illustration of matter pouring into a black hole, crossing an Einstein-Rosen bridge and emerging in another region of the universe (Image credit: Robert Lea (Created with Canva))

The researcher added that this process entails problems of its own, which must also be investigated to assess the robustness of the team's idea.

The big question is whether scientists could ever find evidence for this theory from actual observations of black holes; after all, we know we can't simply peer into their interiors.

""It’s difficult to say, since the effects that lead to singularity resolution might only become observable in regimes of extremely strong gravity, probably far stronger than what we can hope to observe,"" Molina-Niñirola said. ""However, there are some experiments that can offer us some possibilities.""

Molina-Niñirola explained that the observation of ripples in space-time called gravitational waves allows astronomers to observe much stronger gravitational fields than ever before. This gives scientists a unique chance at trying to spot effects beyond general relativity, including those that may lead to singularity resolution.

Additionally, if the team's theory is correct, there should be a tell-tale imprint in the very early universe, during the era of cosmic inflation right after the Big Bang .

""In this regard, the detection of a primordial, gravitational wave background — which has not been detected yet — could provide hints on possible modifications of gravity,"" Molina-Niñirola said. ""Finally, a consequence of the absence of singularities is that the end-product of black hole evaporation via Hawking radiation would be a microscopic black hole.



""These microscopic black holes provide a possible dark matter candidate. Thus, if dark matter turned out to be composed of tiny black holes, this would be an indirect proof in favor of the absence of singularities.""

The team's research was published in the journal Physics Letters B in February 2025.

Originally posted on Space.com .

Black hole quiz: How supermassive is your knowledge of the universe?",livescience
https://livescience.com,"Watch eerie video of humanoid robot 'army' marching naturally, thanks to a major AI upgrade",https://www.livescience.com/technology/robotics/watch-eerie-video-of-army-of-humanoid-robots-marching-naturally-thanks-to-a-major-ai-upgrade,"Sun, 30 Mar 2025 12:10:00 GMT","A U.S. robotics company has used artificial intelligence (AI) to give its humanoid robots a more natural-looking stride, and they say it's just the beginning.

In the promotional video , the robot, called Figure 02 and manufactured by the company Figure, marches with a ""human-like"" gait. This is an ability it claims will help its robot to navigate the physical world more easily.

""These initial results are exciting, but we believe they only hint at the full potential of our technology,"" company representatives wrote in a blog post accompanying its announcement. ""We're committed to extending our learned policy to handle every human-like scenario the robot might face in the real world.""

Robots have been running , cartwheeling , doing backflips , breakdancing , and beating us at chess for years now. But performing tasks that appear simple to humans, such as walking in a straight line, gripping objects , tying shoelaces , and navigating social situations, have proven tough for robots to master.

Related: Chinese humanoid robot is the 'fastest in the world' thanks to its trusty pair of sneakers

The problem, known as Moravec's Paradox , emerges because computers excel at problems that require complex calculations and large datasets, but lack our real-world experience honed by millions of years of evolution. This makes robots' shuffling gaits, well, robotic at best. At worst, it gives them the appearance that they may have soiled themselves.

To tackle the robot's unnatural gait, Figure's engineers used a learning technique called reinforcement learning — placing thousands of virtual robots inside a physics simulator that recreates various terrains, thereby improving their walking through trial and error.

Sign up for the Live Science daily newsletter now Get the world’s most fascinating discoveries delivered straight to your inbox. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors

By rewarding the virtual robot army for natural motions, they refined their gaits to appear more human-like. With this task accomplished, they uploaded the refined ""Learned Natural Walking"" model to a real-world Figure 02 robot. The result is an android that can move somewhat naturally, with heel strikes, toe-offs and synchronized arm swings.

Figure's reinforcement learning technique is key to the California company's plans to roll out its robots on factory floors. It has already tested its humanoid robots in a BMW factory in 2024 and plans to introduce more this year. Meanwhile, Apptronik, a Texas-based competitor, is also commercializing its humanoid robot, Apollo, for use in Mercedes-Benz factories by the end of 2025. Agility Robotics' Digit will also be introduced into warehouses this year.",livescience
https://livescience.com,Space photo of the week: Hubble zooms in on the glittering galaxy next door,https://www.livescience.com/space/astronomy/space-photo-of-the-week-hubble-zooms-in-on-a-unique-dwarf-galaxy-orbiting-the-milky-way,"Sun, 30 Mar 2025 10:00:00 GMT","What it is: The Small Magellanic Cloud, a nearby dwarf galaxy

Where it is: 200,000 light-years away, in the constellations Tucana and Hydrus

When it was shared: March 21, 2025

Why it's so special: The Small Magellanic Cloud (SMC) is one of our galaxy's closest neighbors and is visible to the naked eye, yet most humans will never see it. The dwarf galaxy, which contains just several hundred million stars , compared with the Milky Way's 100 billion stars, can be seen only from the Southern Hemisphere as a cloudy patch in the night sky.

Related: 'Bull's-eye!' Hubble telescope spots record-shattering 9-ring galaxy — and the cosmic 'dart' that smashed through its center

The SMC is close to the bigger Large Magellanic Cloud and is best seen from November to January — unless you're the Hubble Space Telescope , which recently zoomed in on the SMC to reveal its intricate structure.

(Image credit: ESA/Hubble & NASA, C. Murray)

Hubble's Wide Field Camera 3 used its four filters and the observatory's 8-foot (2.4 meters) mirror to capture various wavelengths of light to create this colorful view of clouds of gas and dust illuminated by the light of young stars in the SMC.

Sign up for the Live Science daily newsletter now Get the world’s most fascinating discoveries delivered straight to your inbox. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors

The image shows the center of NGC 346, an open star cluster where new stars are born. Previous studies found about 2,500 infant stars in NGC 346 that have formed from gravitationally collapsing gas clouds. However, they have yet to become full-fledged stars.

As a star factory, the SMC fascinates astronomers because it lacks the heavier elements found in large galaxies like the Milky Way. These heavy elements are the byproducts of multiple generations of stars — something the SMC has lacked due to its small size. Dwarf galaxies like the SMC are thought of as primitive building blocks of larger galaxies. In that way, the SMC is a unique and very close example of what was happening in the early universe.",livescience
https://scientificamerican.com,"Science Jigsaw: Sunday, March 30, 2025",https://scientificamerican.com/game/science-jigsaw-2025-03-30/,"Sun, 30 Mar 2025 00:00:00 GMT",We’d love to hear from you! E-mail us at games@sciam.com to share your experience.,scientificamerican
https://scientificamerican.com,"Scientific American Volume 332, Issue 4",https://scientificamerican.com/issue/sa/2025/04-01/,"Tue, 01 Apr 2025 00:00:00 GMT","For two decades now, the iconic twin Voyager spacecraft have been quietly overturning everything we thought we knew about the boundary between our solar system and interstellar space",scientificamerican
https://theconversation.com,Uncertainty and pessimism abound. Will fear be enough to push Dutton into office?,https://theconversation.com/uncertainty-and-pessimism-abound-will-fear-be-enough-to-push-dutton-into-office-247360,"Sun, 30 Mar 2025 19:04:46 GMT","Tony Abbott was once unelectable. So were Donald Trump and Boris Johnson.

And so was Peter Dutton, not so long ago. But opinion polls over much of 2024 and early 2025 indicated otherwise, and a nightly assault of pre-election political advertising – as my wife and I watched reruns of Law & Order: Criminal Intent – suggested that the Liberals had done their research and needed to humanise their man.

Devotees of Detectives Goren and Eames in that venerable program were able to enjoy briefly reviewing Detective Senior Constable Dutton’s time as a Queensland cop, as well as his splendid business career (which has received some closer scrutiny since) and his more recent meeting and greeting of ordinary Australians as a likeable everyman and all-round good guy.

The ad sometimes played twice in a particular break: the saturation coverage suggested that the Liberals had done rather well with donors. Unfortunately for Dutton, we later gained a deeper insight into the very high priority he attaches to rattling the can for the Liberal Party. Dutton’s decision to attend a fundraiser in Sydney while a cyclone was descending on Queensland did him immense damage, recalling his predecessor’s “I don’t hold a hose, mate” response to the Black Summer bushfires of 2020-21.

If historical precedent is any guide, Dutton’s task should be somewhere between formidable and impossible. When Australians elect their national governments, they can normally assume they are doing so for at least two terms. The last one-termer was the Labor government of James Scullin, elected in October 1929 and sent into oblivion via an election held a few days before Christmas in 1931.

Scullin was a victim of the century’s greatest international economic crisis; governments everywhere faltered or disintegrated under similar pressures. The economic challenges faced by the present Labor government have been more modest. But will it suffer a similar fate to Scullin’s Depression-era administration?

Normally, the rarity of one-termers might have provided Anthony Albanese with a measure of reassurance. But we live in an era where historical precedent seems to count for little.

That was clear enough even at the 2022 election. It was unprecedented in several respects. There was nothing resembling the atmosphere of excitement of 1972, 1983 and 2007 – or, for that matter, 1929 – which had brought Labor governments to power from opposition and awarded them solid or large majorities.

Labor’s majority on the floor of the House of Representatives following the 2022 election was piddling – a mere three seats, and just two after the election of a speaker. Its primary vote was about 32%. It won just five of the 30 available seats in the third most populous Australian state, Queensland.

There had never been a Labor victory like this one. Its exceptionalism haunts Labor’s efforts to gain re-election in 2025.

Labor won in 2022 rather like many state Labor oppositions have won in recent decades. The margin was narrow. The unpopularity of a government, and its leader, was there to be exploited. Again and again, state Labor oppositions have fallen over the line at an initial election, sometimes able only to form minority government: Bob Carr, Mike Rann, Peter Beattie, Steve Bracks and Annastacia Palaszczuk were all examples.

Voters seemed at best grudging in their support, but enough were willing to give Labor a go and then look over the results when a new election came round a few years later. In each case, governments were able to consolidate, sometimes winning landslide victories by establishing their credentials, exploiting incumbency, and building new constituencies.

There were signs Albanese might do the same after May 2022. His slim three-seat majority became a five-seat advantage when Labor’s Mary Doyle won the Aston byelection on April 1 2023 – a seat deep in the traditional Liberal heartland. As late as the Dunkley byelection of March 2 2024, also in Melbourne, the base of electoral support that had seen Albanese into office almost two years before looked to be more or less intact.

Part of the problem for the Coalition seemed to lie with Dutton himself. Would Australians vote for him? Or to put it more precisely: would the kinds of voters in the mainland capital cities who had turned so sharply against Scott Morrison in 2022 shift their votes to a figure as conservative and as bleak as Dutton?

That bleakness always struck me as being a bigger problem than the conservatism. Australians routinely elect conservative prime ministers. They elected Malcolm Fraser when they thought he was a conservative (as indeed he was). Then they elected him twice more. They elected John Howard, who had proudly called himself the Liberal Party’s most conservative leader ever. Then they elected him another three times. They elected Abbott, even if buyer’s remorse quickly followed. They elected Morrison when the Coalition had seemed dead in the water.

But leaders such as Howard and Morrison were much more optimistic than Dutton. They both seemed to think Australia was a pretty good place full of pretty good people and that all things being equal, the future was likely to be pretty good too while there were pretty good blokes in charge (but, of course, it would be much better under a Coalition government, which had the best blokes).

Abbott, to be sure, was more pessimistic – his description of the Syrian conflict as a struggle between “baddies” and “baddies”, and his references to “death cults”, said more about his habit of reducing complexity to melodrama than it did about that Middle East. Yet Abbott’s outlook, at least as expressed publicly while in office, was nowhere near as dismal as Dutton’s.

For Dutton, the enemy is close to home, menacing us in the dark. His bleakness is in a league of its own.

Lech Blaine’s portrait in his Quarterly Essay Bad Cop was convincing: Dutton was a man formed and perhaps damaged by his experience as a policeman, and a political hardman in the habit of painting whole groups of people – commonly politically vulnerable – as a threat to society. Dutton evokes a vision of good people besieged by bad, of the decent and law-abiding as in constant danger of being swamped by the immoral and the criminal – or possibly mugged on their way home from a Melbourne restaurant.

As 2024 unfolded, no one doubted there was sufficient dissatisfaction with Labor building, especially in many outer Australian suburbs, to do the government serious damage at an election. Persistently high interest rates had increased the cost of a mortgage. Inflation had moderated, but living standards had taken a beating. The chattering classes started talking of the inevitability of minority government, but they usually meant minority Labor government. Then they started talking about minority Coalition government, as the polls turned nastier for Labor.

Labor spirits have revived in recent weeks after Dutton’s missteps over Cyclone Alfred, a comfortable victory in the Western Australian election, and opinion polling that shows the ALP ahead on a two-party preferred count. Still, uncertainty abounds.

Albanese often campaigned poorly last time: will he again falter? Dutton, meanwhile, is untested as leader in an election campaign, has little policy on the table, and has a habit of going missing when there are hard questions to be answered.

For me, the key to this election is whether there is a sufficient number of voters, concentrated in the right places, who share enough of Dutton’s pessimism about their own circumstances and, to a lesser extent, about the general state of the country. If, indeed, there is enough congruence between Dutton’s bleakness and theirs, Australia may well have a new government and a new prime minister by winter.

But Dutton’s blessed run might well have now come to an end. Inflation has moderated, the Reserve Bank has made a cut to interest rates, and a sense of scepticism seems to have settled in about Dutton among voters taking a serious look at him as a potential prime minister a few weeks ago.

He now looks more like Old Mother Hubbard with a bare policy cupboard, desperately seeking to shore up the hard right vote against depredations from Pauline Hanson and Clive Palmer, than Australia’s answer to Donald Trump.",theconversation
