"Input URL","Title","Link","Published","Description","Source","Category"
"https://news.google.com/rss/search?q=world+news+site:cnn.com","Trump pens letter asking Israeli president to pardon Netanyahu in corruption trial","https://www.cnn.com/2025/11/12/middleeast/trump-netanyahu-pardon-letter-intl","Wed, 12 Nov 2025 11:18:22 GMT","


            US President Trump penned a letter asking the Israeli president to grant a full pardon to Prime Minister Benjamin Netanyahu in his ongoing corruption trial.
    


            In a letter distributed by the Israeli president's spokesperson, Trump wrote, “I hereby call on you to fully pardon Benjamin Netanyahu, who has been a formidable and decisive War Time Prime Minister, and is now leading Israel into a time of peace.”
    


            For any other president, the letter would be an unusual intervention in the domestic politics of a foreign country. But it's only Trump's latest effort to intervene on behalf of one of his most vocal international supporters.
    


            Netanyahu faces charges of fraud, bribery, and breach of trust in three separate cases which began in Trump's first term. He has entered a plea of not guilty and maintains his innocence.
    


            “While I absolutely respect the independence of the Israeli Justice System, and its requirements, I believe that the ‘case' against Bibi, who has fought alongside me for a long time, including against the very tough adversary of Israel, Iran, is a political,  unjustified prosecution,” Trump wrote in the letter.
    


            Despite the ceremonial nature of the role, Herzog has the power to issue pardons. But the request must come from the individual accused of wrongdoing, their legal representatives or a family member. Neither Netanyahu nor any of his close associates have submitted such a petition.
    


            In a statement, Herzog's office said that he holds Trump “in high regard” and appreciates his “unwavering support of Israel, his immense contribution to the return of the hostages, the transformation of the Middle East and Gaza, and the safeguarding of Israel's security”.
    


            But Herzog's office also said that “anyone seeking a pardon must submit a request in accordance with the established procedures.”
    


            Trump has weighed in on Netanyahu's trial several times before. In June, after the 12-day war between Israel and Iran, he wrote a lengthy post on Truth Social in which he called Netanyahu's trial a “ridiculous witch hunt,” echoing language he's used about his own legal threats.
    


            And last month, during his short trip to Israel, Trump raised the issue of a pardon during his address to Israel's parliament.
    


            Turning to Herzog seated nearby, he said, “Mr. President, why don't you give him a pardon?”
    


            Trump's new letter sparked conflicting reactions across the Israeli political spectrum.
    


            Far-right National Security Minister Itamar Ben-Gvir wrote on X: “President Herzog, listen to President Trump!”, he said, claiming that the “disgraceful” indictments against Netanyahu “have long since become an indictment against the prosecution itself.”
    


            Opposition Leader Yair Lapid responded to the letter in a statement, saying, “A reminder: Israeli law clearly stipulates that the first condition for a presidential pardon is admitting guilt and expressing remorse.”
    


            Netanyahu is the first incumbent prime minister in the history of Israel to face criminal prosecution while in office.
    


            His trial on charges of bribery, fraud, and breach of trust began in May 2020.
    


Controversial death penalty and foreign media bills clear first reading in Israel's parliament



            Netanyahu's own testimony started in December 2024 but has been subject to repeated delays and cancellations, the majority of them at his request. Given the remaining stages of testimony, judgment, and potential appeals, the proceedings are expected to continue for several more years.
    


            It is not the first time Trump attempted to intervene in overseas ongoing judicial proceedings.
    


            In July, in a social media post, Trump urged Brazilian authorities to end their prosecution of another international ally, former President Jair Bolsonaro, who has since been convicted of plotting a coup, saying Bolsonaro was “not guilty of anything, except having fought for people.”
    


            In April, he came out in support of French far-right leader Marine Le Pen, when she was barred from running for political office for five years after being found guilty of embezzling European Union funds.
    


            “The Witch Hunt against Marine Le Pen is another example of European Leftists using Lawfare to silence Free Speech, and censor their Political Opponent, this time going so far as to put that Opponent in prison,” he posted. “It is the same ‘playbook' that was used against me.”
    

© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.","{'href': 'https://www.cnn.com', 'title': 'CNN'}","world"
"https://news.google.com/rss/search?q=world+news+site:cnn.com","Rumors swirl of a plot to oust Keir Starmer as the embattled British leader denies attacking his rivals","https://www.cnn.com/2025/11/12/uk/starmer-leadership-plot-streeting-intl","Wed, 12 Nov 2025 15:37:59 GMT","


            British Prime Minister Keir Starmer was forced Wednesday to address reports that rivals in his Labour Party are plotting to replace him as leader, just two weeks ahead of a government budget announcement that could worsen his already dire poll ratings.
    


            Several British news outlets quoted Starmer allies late Tuesday saying his job might be under immediate threat and singling out Wes Streeting, the health secretary, as a challenger whose “ambition” was being viewed with “particular suspicion.” Those same allies briefed that Starmer would fight any challenge to his leadership.
    


            Streeting dismissed the reports as “self-defeating nonsense,” telling British media that he could “not see any circumstances under which I would do that to our prime minister.” He accused those responsible for the briefings – the claims circulated to the press – of trying to “kneecap” him.
    


            By Wednesday afternoon, what might have remained as trivial political gossip had snowballed into a full-blown crisis. Accused by Conservative leader Kemi Badenoch of presiding over a “toxic” culture in Downing Street, Starmer was forced to address the reports that his allies were briefing against senior members of his government.
    


            Starmer told Parliament that he had not authorized the negative briefings against his colleagues. “I appointed them to their posts because they're the best people to carry out their jobs,” he said. “Any attack on any member of my cabinet is completely unacceptable.”
    


            The latest crisis to hit the government comes ahead of a budget announcement on November 26, when Labour – in order to fill a fiscal black hole – is expected to break a key election pledge by increasing the basic rate of income tax for the first time in half a century.
    


            Chancellor Rachel Reeves has indicated that both tax rises and spending cuts are possible when she lays out her plans for the year ahead, seeking to cut government debt. That would likely spur further attacks from Nigel Farage, whose upstart anti-immigrant Reform UK party has led Labour in national polls for months.
    


            Starmer's popularity went into freefall soon after Labour won a landslide general election victory in July 2024. YouGov, a pollster, said this month that just 17% of Britons approve of the job Starmer is doing as prime minister, while 73% disapprove.
    


            The decision by Starmer's allies to brief against Streeting, the minister tasked with repairing Britain's depleted National Health Service, bewildered and blindsided many Labour Party politicians and has raised questions about the prime minister's control of his governing operation in Downing Street.
    


            “People are flummoxed,” one Labour MP, speaking on the condition of anonymity, told CNN. “Nobody quite understands where this briefing is coming from.”
    


            Lawmakers are also perplexed by the timing of the briefing. After an unsteady first 16 months in office left Starmer one of the most unpopular British prime ministers on record, Labour MPs had previously signaled that the prime minister would not face a serious leadership contest until after local elections in May 2026, giving his government time to reverse its decline in the polls.
    


Keir Starmer is polling as the UK's most unpopular prime minister on record. Where did it all go wrong?



            But the Tuesday night briefing raised the possibility that Starmer could face a leadership challenge after the budget.
    


            Despite Streeting's denial that he is seeking to challenge for the leadership of the Labour Party, a “Wes for Leader” website was created on Tuesday. CNN has asked Streeting's office for comment.
    


            Rumors of a leadership challenge last swirled in September, when Andy Burnham – a former MP and the current mayor of Greater Manchester – launched an audacious and abortive attempt at challenging Starmer's approach on the eve of Labour's annual conference.
    


            Ousting a Labour leader is difficult, however, since any challenger would need the support of 20% of the party's members of parliament, meaning 80 lawmakers would need to agree on an alternative candidate.
    

© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.","{'href': 'https://www.cnn.com', 'title': 'CNN'}","world"
"https://news.google.com/rss/search?q=world+news+site:cnn.com","Sanae Takaichi: How Japan's new prime minister has brought China's ‘wolf warriors' back out","https://www.cnn.com/2025/11/12/asia/japan-takaichi-china-taiwan-analysis-intl-hnk","Wed, 12 Nov 2025 07:27:55 GMT","


            In the end, there was no honeymoon period.
    


            Just two weeks ago, Japan's new prime minister Sanae Takaichi was shaking hands with Chinese leader Xi Jinping. Now, relations between the two Asian nations have dramatically soured, with escalating nationalist rhetoric in China and even an apparent threat of beheading from one of its diplomats.
    


            Takaichi, who was elected as Japan's first female prime minister just last month, has become embroiled in a growing row with Beijing over Taiwan – the democratic island that China's ruling Communist Party claims as its own, and a red line it has warned other countries not to cross.
    


            The furor began when Takaichi told the Japanese parliament on November 7 that a Chinese attack on Taiwan – which lies just 60 miles (100 kilometers) from Japanese territory – would count as “a situation threatening Japan's survival” and could trigger a military response from Tokyo.
    


            Beijing has not ruled out using force to take control of the island and has ramped up the frequency and complexity of its military drills around Taiwan in recent years.
    


            Previous Japanese leaders have avoided discussing Taiwan in the context of a military response. And Washington deliberately remains vague on how it would respond to a hypothetical invasion, a policy known as “strategic ambiguity.”
    


China warns Taiwan and human rights remain among its ‘red lines' after Trump-Xi talks



            Wading into the thorny issue of Taiwan's defense has gotten other world leaders in hot water with Beijing before. Former US President Joe Biden set off a diplomatic panic during his time in office when he said multiple times that the United States would be willing to intervene militarily if China attacked Taiwan – forcing the White House to repeatedly walk back his comments, and sparking anger each time in Beijing.
    


            Takaichi's remarks were met with an even more vehement response.
    


            “The dirty neck that sticks itself in must be cut off,” wrote the Chinese consul general in Osaka, Xue Jian, in a post on X that has since been deleted.
    


            The fallout has spiraled since, with Japan criticizing Xue's “extremely inappropriate” post and Taiwan voicing concern about Xue's “threatening” remarks, according to Reuters.
    


            Beijing, meanwhile, has defended its position and Xue's comments.
    


            A spokesperson from China's foreign ministry on Monday accused Japan of “grossly interfering with China's internal affairs,” saying Xue's post was simply responding to Takaichi's “erroneous and dangerous remarks.”
    


            For some, the controversy harks back to China's “wolf warrior” diplomacy – an aggressive style of foreign policy that emerged in the early 2020s, which often saw Chinese officials take to social media platforms to hit back directly - and often colorfully - at any criticism of China, but has since been dialed back as Beijing looked to win back lost goodwill among Western nations.
    


            And within China, where there is already significant streak of anti-Japanese sentiment, state media and other prominent voices this week have further fanned outrage over Takaichi's statement.
    


            Communist Party mouthpiece People's Daily condemned Takaichi as “recklessly shooting her mouth off,” and warning: “No one should harbor any illusion that they can cross the line on the Taiwan issue without paying a price.”
    


            A social media account affiliated with state broadcaster CCTV asked: “Has her head been kicked by a donkey?”
    


            Hu Xijin, a Chinese pundit and former editor-in-chief of the state-run tabloid Global Times, offered a more violent warning, echoing the threats from the diplomat Xue.
    


            “China's battle blade for beheading invaders has been sharpened to a very keen edge,” he wrote in a post on Tuesday. “If Japanese militarism wishes to come to the Taiwan Strait to sacrifice themselves on our blades, we will fulfill them.”
    


            Takaichi said Monday that her comments were “hypothetical,” and said she would avoid making similar comments in parliament again. But the prime minister is walking a tightrope every Japanese leader has had to balance.
    


            China remains Japan's largest trading partner, and Takaichi inherited a country facing mounting economic woes. At the same time, Takaichi is known for her hardline conservative views, like her mentor former Prime Minister Shinzo Abe. She has pushed to strengthen Japan's defense capacity and criticized Beijing's growing military presence in the region.
    


            This uneasy relationship was on display when Takaichi met Xi at the Asia-Pacific Economic Cooperation (APEC) summit in late October. The two leaders agreed to build a “strategic mutually beneficial relationship,” Takaichi said afterward; however, she also raised with Xi the hot-button issue of China's activity in the East China Sea, including around islands claimed by both countries.
    


            Even before she took office, Takaichi's stance on Taiwan was clear. She visited the island earlier this year and called for cooperation on “defense challenges,” which Beijing condemned at the time. During the APEC summit, she also met with Taiwan's representative, again angering China.
    


            The current spat comes during a year when Japan-China relations are already strained, in part because of Tokyo's colonial and war-time past.
    


            September marked the 80th anniversary of the end of World War II, which Beijing commemorated with a massive military parade. There's longstanding historical hostility between the two countries; China was a crucial Allied partner, fighting against Japan's full-scale invasion that ended only with Tokyo's formal surrender in 1945.
    


            The scars of that era run deep. Japanese Imperial troops killed more than 200,000 unarmed men and civilians, and raped and tortured tens of thousands of women and girls, in what is known as the Nanjing Massacre – one of the most notorious wartime atrocities of the 20th century.
    


            Ahead of the parade, Chinese officials ramped up their rhetoric and accused Japan of whitewashing history. Adding fuel to the fire, China also released at least four WWII films this year, including some that depict the Nanjing Massacre and the sinking of a Japanese vessel.
    


            Fearing a spike in anti-Japanese sentiment ahead of the parade, the Japanese embassy in Beijing warned its citizens to stay cautious and avoid speaking Japanese loudly in public – perhaps mindful that in recent years, there has been a spate of violent attacks against Japanese nationals in China.
    


            That complex history involves Taiwan, too.
    


            The island was once a Japanese colony that Imperial China had ceded to Imperial Japan. After Japan was defeated in WWII, China's ruling Nationalists took control of Taiwan – then, several years later, fled to the island and moved their seat of government there after losing a bloody civil war to the Chinese Communist Party (CCP).
    


            Today, the CCP views the self-ruling island as its own territory, despite never having controlled it, and has vowed to seize it by force if necessary. Party leaders and state media have repeatedly claimed that the end of WWII marked the island's return to Chinese rule and liberation from Japanese occupation – a view Chinese officials alluded to this week as they berated Takaichi.
    


            “Japan holds historical responsibility towards the Chinese people regarding the Taiwan issue, having committed unmentionable crimes during the 50 years of colonial rule over Taiwan,” said Chen Binhua, a spokesperson for China's Taiwan Affairs Office, on Wednesday when asked about Takaichi's comments.
    


            “Eighty years ago, we defeated the Japanese aggressors, restored Taiwan, and ended their occupation and plunder,” he said.
    


            “Should anyone again attempt to challenge China's core interests” or thwart reunification with Taiwan, Chen said, Beijing “will never accept or tolerate it.”
    


  CNN's Hanako Montgomery contributed to this report.


© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.","{'href': 'https://www.cnn.com', 'title': 'CNN'}","world"
"https://news.google.com/rss/search?q=world+news+site:rt.com","UK stops sharing ‘drug boat' intelligence with US","https://www.rt.com/news/627656-uk-stops-intel-us-drug-boats/","Wed, 12 Nov 2025 03:44:00 GMT","

The UK has stopped sharing intelligence on suspected drug boats in the Caribbean with the US after the Pentagon began conducting lethal strikes on the vessels, CNN and The Times reported on Tuesday, citing people familiar with the matter.

The US has killed at least 76 people in international waters since September as part of President Donald Trump's campaign against what he says are “narcoterrorists” operating out of Venezuela.

According to CNN, London suspended intelligence-sharing because it believes the strikes are illegal under international law. A UK military source told The Times: “We don't just target the vessel and kill people. We would arrest them.”

The UK had used intelligence assets stationed on its Caribbean overseas territories to help the US Coast Guard intercept vessels suspected of smuggling drugs, CNN reports.

The UN's top human rights official, Volker Turk, condemned the strikes as “extrajudicial killing.”

Venezuela and neighboring Colombia have denied that the victims were involved with cartels. Venezuelan President Nicolas Maduro has rejected Trump's allegations that his government is profiting from the drug trade.

Trump has deployed a naval armada, including the USS Gerald R. Ford, near Venezuela's coast, hinting that he could authorize strikes on Venezuelan soil. He denies, however, that he is seeking regime change. Maduro has placed the military on alert and vowed to repel any attack.

RT News App

© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2025. All rights reserved.

This website uses cookies. Read RT Privacy policy to find out more.","{'href': 'https://www.rt.com', 'title': 'rt.com'}","world"
"https://news.google.com/rss/search?q=world+news+site:rt.com","‘Lucifer' bee with devil-like horns discovered in Australia","https://www.rt.com/news/627663-lucifer-bee-australia/","Wed, 12 Nov 2025 08:55:00 GMT","





A new species of bee has been discovered in Western Australia, named ‘Lucifer' due to the devil-like horns found on its females.

The discovery of the species, formally named Megachile (Hackeriapis) lucifer, was announced by Curtin University on Tuesday. Lead researcher Kit Prendergast said the name was inspired by the insect's appearance and the Netflix series ‘Lucifer'.

“The name just fit perfectly. I'm also a huge fan of the Netflix character Lucifer, so it was a no-brainer,” Prendergast said in a statement. “The female had these incredible little horns on her face,” she added.

Prendergast, from the university's School of Molecular and Life Sciences, first encountered the bee in 2019 during a survey of a critically endangered wildflower and was struck by its unique features, according to the study published in the Journal of Hymenoptera.

Genetic analysis revealed it was the first new species in its group to be studied in more than 20 years, Prendergast said, with DNA barcoding confirming it was a unique find not represented in any major databases or museum collections.

The function of the female's horns is still under investigation but may be related to gathering resources or nest defense, the researchers noted. The males of the species lack the distinctive horns.

The finding highlights the importance of researching native bees in ecosystems threatened by climate change and habitat disturbance, Prendergast said, adding that it “really shows how much life we still have to discover.”

She expressed hope that the discovery would raise awareness of the vast number of species still unknown to science, particularly in regions under threat from climate change and mining.

“Many mining companies still don't survey for native bees, so we may be missing undescribed species, including those that play crucial roles in supporting threatened plants and ecosystems,” she said.

The discovery comes as pollinators, which are essential for nearly all of the world's flowering plants, face severe threats. Habitat loss and climate change are pushing many vital bee species to the brink of extinction.

RT News App

© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2025. All rights reserved.

This website uses cookies. Read RT Privacy policy to find out more.","{'href': 'https://www.rt.com', 'title': 'rt.com'}","world"
"https://news.google.com/rss/search?q=world+news+site:tass.com","BBC distorting Trump's speech constitutes a crime — Russian MFA","https://tass.com/politics/2042513","Wed, 12 Nov 2025 10:54:10 GMT","

MOSCOW, November 12. /TASS/. The actions of the British Broadcasting Company (BBC), which distorted the statements of US President Donald Trump regarding the 2021 Capitol riots, constitute an information crime, Russian Foreign Ministry Spokeswoman Maria Zakharova stated during a broadcast on Sputnik radio.

As the diplomat noted, BBC leadership has been accused of tampering with programs and censoring Trump's speeches. ""They mangled his [Trump's] speech so severely that it gave the impression he was, at the time of the broadcast, almost calling for – or at the very least approving – the events that unfolded following the election in which he competed with [Joe] Biden. That he supposedly endorsed what later occurred in and around the Capitol,"" she said.

""They were manipulating his speech by splicing it. Generally, for those who pose as a free, independent press operating under a ban on censorship, such actions constitute a monstrous crime,"" Zakharova stressed.

""I view this as a genuine information crime. Especially when the situation is charged, and especially when one understands that the fate of a human, a country, a nation depends on these materials,"" the foreign ministry spokeswoman concluded.","{'href': 'https://tass.com', 'title': 'tass.com'}","world"
"https://news.google.com/rss/search?q=world+news+site:tass.com","Vuсic says Europe is preparing for war with Russia","https://tass.com/world/2042337","Wed, 12 Nov 2025 03:00:09 GMT","

BELGRADE, November 12. /TASS/. Serbian President Aleksandar Vuсic believes that European countries are preparing for a possible military conflict with Russia.

""As I analyze the facts, I come to the conclusion that a war between Europe and Russia is becoming increasingly apparent. This is not empty talk - everyone is preparing for it,"" Vuсic said in a broadcast on Pink TV, commenting on the statement by Chief of the French Armed Forces General Staff Fabien Mandon that the French army must be ready for a confrontation with Russia within three to four years.

Vuсic also stated that Serbia has found itself ""between a rock and a hard place"" amid the conflicting objectives pursued by Western countries and Russia. According to him, Serbia must continue strengthening its armed forces for self-defense.","{'href': 'https://tass.com', 'title': 'tass.com'}","world"
"https://news.google.com/rss/search?q=world+news+site:tass.com","Russia establishes Unmanned Systems Forces","https://tass.com/defense/2042371","Wed, 12 Nov 2025 06:57:24 GMT","

MOSCOW, November 12. /TASS/. Russia has formed a new military branch, the Unmanned Systems Forces, which is already manned and fully operational, Colonel Sergey Ishtuganov, deputy head of the Unmanned Systems Forces, said.

""The Unmanned Systems Forces of the Russian Armed Forces have been established. The structure of this new branch of the armed forces has been determined, the head of the Unmanned Systems Forces has been appointed, military administration units have been created at all levels. Operational regiments and other units have been formed. Combat work of the unmanned systems units is being carried out following a single plan and in cooperation with other units in battlegroups,"" he said in an interview with the Komsomolskaya Pravda newspaper.

In December 2024, at the military agency's final board meeting, Russian Defense Minister Andrey Belousov said that it is possible to finalize the creation of a new branch of the armed forces, the unmanned systems forces, as early as in the third quarter of 2025. The new branch is being formed in accordance with instructions by Supreme Commander-in-Chief, Russian President Vladimir Putin.","{'href': 'https://tass.com', 'title': 'tass.com'}","world"
"https://news.google.com/rss/search?q=world+news+site:theguardian.com","Republican disquiet over hemp ban threatens passage of bill to end shutdown","https://www.theguardian.com/us-news/2025/nov/12/hemp-republican-spending-bill","Wed, 12 Nov 2025 13:01:00 GMT","

Kentucky trio oppose provision restricting hemp-derived products, with House to vote on Wednesday on funding bill

A last-minute provision in the federal spending bill heavily restricting hemp-derived products such as CBD and THC drinks could lead some Republicans to vote against the spending bill which, if passed, could end the government shutdown as early as Wednesday.

Kentucky is one of the largest producers of hemp in the country, and Republicans in the state have shown strong support for the hemp industry. Jonathan Miller, an advocate for the hemp industry and former Kentucky state treasurer, said that “Kentucky is really ground zero for the rebirth of hemp” – a niche industry until the 2018 farm bill allowed a much wider variety of legal products.

On Monday night, Kentucky senator Rand Paul broke with the Republican party and voted against the bill because of the hemp provision, which was revealed at the 11th hour and which Paul tried unsuccessfully to have removed.

Miller said Congress has been batting around provisions to ban hemp for months.

“First it was as part of the farm bill, and later was part of last year's spending bill,” Miller said. Paul successfully had the provision blocked before it found its way back into the bill. “Fast forward to November, and the deliberations behind the scenes of the appropriations bill [mean the hemp provision] has been added to the minibus” – the addition concerning spending over various sectors, including agriculture.

Senator Mitch McConnell and Congressman Andy Harris were instrumental in adding the provision, Miller said.

The current version of the provision “criminalizes any product that has more than .4 milligrams of total THC per container. That's basically zero. 95% of hemp products have more than .4 milligrams,” Miller said.

The 2018 farm bill's only restriction on hemp was that it contain less than 0.3% delta 9 THC. The new provision would ban THC in all forms, including delta 8 THC and THCA, which are common in hemp products, and would also criminalize non-intoxicating CBD products with trace amounts of THC, Miller said.

The bill will progress to a House vote as early as Wednesday, and needs 218 votes to pass. There are 219 Republican House members, but Kentucky representatives James Comer, Thomas Massie and Andy Barr have all spoken out against the ban.

Massie said, according to Louisville Public Media: “I detest the tactics that are being used to try to get the ban enacted into law.”

The alcohol industry has been divided in its lobbying for the provision. Alcohol distributors, who also distribute THC beverages, wrote a letter calling for regulation rather than an outright ban, while the American Distilled Spirits Alliance supported the ban.

Miller said that although distributors want to continue to profit from THC beverages, some alcohol manufacturers blame hemp for the recent decline in alcohol consumption among US adults.

Hemp industry leaders are worried the ban will simply turn the market over to unregulated manufacturers.

“If sweeping restrictions move forward, it won't be the bad actors who disappear,” said Jammie Treadwell, CEO of Treadwell Farms, a hemp manufacturer, adding “Instead, we need thoughtful, science-based regulation”

Evan Eneman, CEO of Iconic Tonics, which makes hemp-derived products, said the whiplash around the provision is “destabilizing and unnecessary”.

“Policy made by omnibus surprise, rather than through open hearings, invites unintended harm and fuels the very unregulated, unsafe market lawmakers claim to oppose,” he said.

The unregulated hemp market has led to problems with heavy metal, contaminants and under-age consumption.

“The good news, though, is that this bill doesn't go into effect until a year after passage, so we have a year to try to fix this, and we're hopeful to replace the ban with some strong regulations of these products,” said Miller, who expects the bill to pass.

Cameron Clarke, CEO of Kanha, which makes edibles for the regulated cannabis industry and the hemp market, said in the end, he expects politicians will have to cave to consumer demand for hemp products one way or another.

“Politicians don't typically lead consumer preferences; they follow consumer demands,” he said.","{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}","world"
"https://news.google.com/rss/search?q=world+news+site:theguardian.com","US House to vote on bill that could end longest-ever government shutdown","https://www.theguardian.com/us-news/2025/nov/12/house-vote-shutdown-bill","Wed, 12 Nov 2025 15:36:00 GMT","

Democrats have vowed to vote against the proposal after a faction of Senators broke with party to pass a compromise

US politics – live updates

The House on Wednesday was poised to vote on legislation that would end the longest government shutdown in US history, as Democrats voice fury that the Senate-brokered compromise fails to extend expiring healthcare subsidies.

The House speaker, Mike Johnson, has instructed lawmakers to return to Washington after keeping the chamber out of session for more than 50 days.

On Monday, a splinter group of Senate Democrats joined with Republicans to advance legislation that would fund the federal government through the end of January, without extending the tax credits. The move sparked a furious backlash among Democrats, many of whom have called the plan a betrayal. Influential progressive groups have even called for Chuck Schumer, the Senate minority leader, to resign.

All Republicans supported the measure's passage, except for Rand Paul of Kentucky, along with eight moderate members of the Democratic caucus, several of whom were recently re-elected, or serving their final terms in office.

The expected House vote, on day 42 of the shutdown, comes as hundreds of thousands of furloughed federal workers miss paychecks, millions of Americans risk losing food assistance and airlines warn travelers to brace for continued disruptions.

On Tuesday night, the House rules committee voted 8-4 along party lines to advance the Senate package, setting the stage for it to come to the House floor on Wednesday.

At the start of the hearing, the panel's top Democrat, Jim McGovern, welcomed Republicans back to Washington, decrying their absence during the shutdown.

“Where the hell have you been?” he asked, during in his opening remarks adding later: “Republicans quiet quit their jobs. They disappeared.”

Virginia Foxx, the committee's chair, blamed Democrats for causing the shut down, and noted sharply they walked away “empty handed” after insisting they would not relent until securing an extension of the enhanced healthcare subsidies.

While they did not win that concession, the senators who broke with the Democratic caucus claimed credit for getting the Republican Senate majority leader, John Thune, to agree to hold a vote by mid-December on an extension of the tax credits.

If the subsidies expire, millions of Americans could see sharp rises in their healthcare premiums or lose their marketplace coverage entirely.

The short-term government funding bill would extend government funding at current levels through January 2026 along with three year-long provisions that will fund programs at the Department of Veterans Affairs, the USDA and FDA, and legislative branch operations. The continuing resolution also includes language to stop mass federal firings and reverse dismissals that occurred during the shutdown – prohibiting additional reductions until the end of January – and guarantees back pay to workers who have spent weeks without paychecks.

Speaking Tuesday at a press conference on Capitol Hill, Hakeem Jeffries, the House minority leader, said it was his “strong expectation” that House Democrats will vote against the proposal. He joined a group of Democratic lawmakers to unveil an amendment that would extend the Affordable Care Act tax credits for three years. The proposal was rejected by the Republican-controlled House rules committee on Tuesday night.

“Because of the Republican refusal to extend the Affordable Care Act tax credits, in the midst of a cost-of-living crisis that already exists, that they failed to address, healthcare for people all across this country is on the brink of becoming unaffordable,” Jeffries said.

With a 219-member majority assuming full attendance, Johnson can only afford to lose two votes on the bill, and the Kentucky representative Thomas Massie is likely to vote no. But Republican leaders have expressed optimism that the legislation would pass on Wednesday, and be sent to Trump for his signature.

Addressing a crowd at Arlington National Cemetery on Tuesday, Veterans day, Trump congratulated Johnson, calling the Senate bill a “very big victory”.

“We're opening up our country,” he added. “Should have never been closed.”","{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}","world"
